Match Number,Round Number,Date,Home Team,Away Team,Home Score,Away Score,Winner
25,4,22-10-2022 06:30,South East Melbourne Phoenix,Brisbane Bullets,89,88,South East Melbourne Phoenix
26,4,22-10-2022 09:00,Tasmania JackJumpers,Perth Wildcats,103,72,Tasmania JackJumpers
27,4,23-10-2022 03:00,Cairns Taipans,New Zealand Breakers,64,68,New Zealand Breakers
28,4,23-10-2022 05:00,Melbourne United,Sydney Kings,69,87,Sydney Kings
29,4,24-10-2022 08:30,Illawarra Hawks,Brisbane Bullets,56,82,Brisbane Bullets
36,5,27-10-2022 08:30,Brisbane Bullets,Illawarra Hawks,86,61,Brisbane Bullets
37,5,28-10-2022 08:30,Adelaide 36ers,New Zealand Breakers,70,99,New Zealand Breakers
30,5,28-10-2022 10:30,Perth Wildcats,South East Melbourne Phoenix,90,91,South East Melbourne Phoenix
31,5,29-10-2022 06:30,Illawarra Hawks,Melbourne United,100,106,Melbourne United
32,5,29-10-2022 09:00,Sydney Kings,Cairns Taipans,106,103,Sydney Kings
33,5,30-10-2022 03:00,New Zealand Breakers,Tasmania JackJumpers,94,62,New Zealand Breakers
34,5,30-10-2022 05:00,South East Melbourne Phoenix,Adelaide 36ers,103,98,South East Melbourne Phoenix
35,5,31-10-2022 08:30,Melbourne United,Perth Wildcats,94,77,Melbourne United
41,6,03-11-2022 08:30,Illawarra Hawks,Adelaide 36ers,80,96,Adelaide 36ers
42,6,03-11-2022 10:30,Perth Wildcats,Tasmania JackJumpers,77,85,Tasmania JackJumpers
43,6,04-11-2022 08:30,Cairns Taipans,Melbourne United,97,72,Cairns Taipans
44,6,05-11-2022 06:30,Tasmania JackJumpers,Brisbane Bullets,72,74,Brisbane Bullets
38,6,05-11-2022 09:00,Adelaide 36ers,Perth Wildcats,89,94,Perth Wildcats
39,6,06-11-2022 03:00,New Zealand Breakers,Sydney Kings,77,81,Sydney Kings
40,6,06-11-2022 05:00,Melbourne United,South East Melbourne Phoenix,110,85,Melbourne United
45,7,17-11-2022 08:30,Melbourne United,Adelaide 36ers,86,91,Adelaide 36ers
46,7,17-11-2022 10:30,Perth Wildcats,South East Melbourne Phoenix,103,96,Perth Wildcats
47,7,18-11-2022 08:30,Tasmania JackJumpers,New Zealand Breakers,76,84,New Zealand Breakers
48,7,19-11-2022 06:30,South East Melbourne Phoenix,Melbourne United,84,69,South East Melbourne Phoenix
49,7,19-11-2022 09:00,Brisbane Bullets,Cairns Taipans,82,90,Cairns Taipans
50,7,20-11-2022 03:00,New Zealand Breakers,Adelaide 36ers,89,83,New Zealand Breakers
51,7,20-11-2022 05:00,Sydney Kings,Illawarra Hawks,83,82,Sydney Kings
52,8,24-11-2022 10:30,Perth Wildcats,Adelaide 36ers,82,96,Adelaide 36ers
53,8,25-11-2022 08:30,Cairns Taipans,New Zealand Breakers,71,82,New Zealand Breakers
54,8,26-11-2022 09:00,Melbourne United,Tasmania JackJumpers,90,94,Tasmania JackJumpers
55,8,27-11-2022 03:00,New Zealand Breakers,Brisbane Bullets,116,79,New Zealand Breakers
56,8,27-11-2022 05:00,South East Melbourne Phoenix,Illawarra Hawks,112,78,South East Melbourne Phoenix
57,8,28-11-2022 08:30,Cairns Taipans,Sydney Kings,94,88,Cairns Taipans
58,9,01-12-2022 06:30,New Zealand Breakers,South East Melbourne Phoenix,110,84,New Zealand Breakers
59,9,01-12-2022 08:30,Brisbane Bullets,Perth Wildcats,106,95,Brisbane Bullets
60,9,02-12-2022 08:30,Adelaide 36ers,Cairns Taipans,78,75,Adelaide 36ers
61,9,03-12-2022 06:30,New Zealand Breakers,Perth Wildcats,84,92,Perth Wildcats
62,9,03-12-2022 09:00,South East Melbourne Phoenix,Melbourne United,78,72,South East Melbourne Phoenix
63,9,04-12-2022 03:00,Sydney Kings,Adelaide 36ers,97,78,Sydney Kings
64,9,04-12-2022 05:00,Brisbane Bullets,Tasmania JackJumpers,84,99,Tasmania JackJumpers
65,9,05-12-2022 08:30,Illawarra Hawks,Melbourne United,93,79,Illawarra Hawks
68,10,08-12-2022 06:30,New Zealand Breakers,Sydney Kings,81,88,Sydney Kings
69,10,08-12-2022 08:30,South East Melbourne Phoenix,Illawarra Hawks,111,72,South East Melbourne Phoenix
70,10,09-12-2022 08:30,Adelaide 36ers,Perth Wildcats,90,98,Perth Wildcats
71,10,10-12-2022 06:30,Cairns Taipans,Illawarra Hawks,102,101,Cairns Taipans
72,10,10-12-2022 09:00,Melbourne United,Brisbane Bullets,104,88,Melbourne United
73,10,11-12-2022 03:00,South East Melbourne Phoenix,Adelaide 36ers,102,84,South East Melbourne Phoenix
66,10,11-12-2022 05:00,Sydney Kings,Tasmania JackJumpers,76,84,Tasmania JackJumpers
67,10,12-12-2022 10:30,Perth Wildcats,Melbourne United,90,89,Perth Wildcats
