SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2025,Match 64,22-05-2025,Lucknow Super Giants,Gujarat Titans,235/2 (20.0),202/9 (20.0),Lucknow Super Giants,Lucknow Super Giants beat Gujarat Titans by 33 runs
IPL 2025,Match 65,23-05-2025,Sunrisers Hyderabad,Royal Challengers Bengaluru,231/6 (20.0),189/10 (19.5),Sunrisers Hyderabad,Sunrisers Hyderabad beat Royal Challengers Bengaluru by 42 runs
IPL 2025,Match 66,24-05-2025,Punjab Kings,Delhi Capitals,206/8 (20.0),208/4 (19.3),Delhi Capitals,Delhi Capitals beat Punjab Kings by 6 wickets
IPL 2025,Match 67,25-05-2025,Chennai Super Kings,Gujarat Titans,230/5 (20.0),147/10 (18.3),Chennai Super Kings,Chennai Super Kings beat Gujarat Titans by 83 runs
IPL 2025,Match 68,25-05-2025,Sunrisers Hyderabad,Kolkata Knight Riders,278/3 (20.0),168/10 (18.4),Sunrisers Hyderabad,Sunrisers Hyderabad beat Kolkata Knight Riders by 110 runs
IPL 2025,Match 69,26-05-2025,Mumbai Indians,Punjab Kings,184/7 (20.0),187/3 (18.3),Punjab Kings,Punjab Kings beat Mumbai Indians by 7 wickets
IPL 2025,Match 70,27-05-2025,Lucknow Super Giants,Royal Challengers Bengaluru,227/3 (20.0),230/4 (18.4),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Lucknow Super Giants by 6 wickets
IPL 2025,Qualifier 1,29-05-2025,Punjab Kings,Royal Challengers Bengaluru,101/10 (14.1),106/2 (10.0),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Punjab Kings by 8 wickets
IPL 2025,Eliminator,30-05-2025,Mumbai Indians,Gujarat Titans,228/5 (20.0),208/6 (20.0),Mumbai Indians,Mumbai Indians beat Gujarat Titans by 20 runs
IPL 2025,Qualifier 2,01-06-2025,Mumbai Indians,Punjab Kings,203/6 (20.0),207/5 (19.0),Punjab Kings,Punjab Kings beat Mumbai Indians by 5 wickets
IPL 2025,Final,03-06-2025,Royal Challengers Bengaluru,Punjab Kings,190/9 (20.0),184/7 (20.0),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Punjab Kings by 6 runs
