Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1058,21,26-03-2025 21:00,PHX Arena,Phoenix Suns,Boston Celtics,102,132,Boston Celtics
1059,21,27-03-2025 18:00,Rocket Arena,Cleveland Cavaliers,San Antonio Spurs,124,116,Cleveland Cavaliers
1060,21,27-03-2025 18:00,Kia Center,Orlando Magic,Dallas Mavericks,92,101,Dallas Mavericks
1061,21,27-03-2025 18:00,Capital One Arena,Washington Wizards,Indiana Pacers,109,162,Indiana Pacers
1062,21,27-03-2025 18:30,Kaseya Center,Miami Heat,Atlanta Hawks,122,112,Miami Heat
1063,21,27-03-2025 19:00,United Center,Chicago Bulls,Los Angeles Lakers,119,117,Chicago Bulls
1064,21,27-03-2025 19:00,Paycom Center,Oklahoma City Thunder,Memphis Grizzlies,125,104,Oklahoma City Thunder
1065,21,27-03-2025 20:00,Delta Center,Utah Jazz,Houston Rockets,110,121,Houston Rockets
1066,21,27-03-2025 21:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,128,107,Sacramento Kings
1067,21,28-03-2025 18:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,133,122,Detroit Pistons
1068,21,28-03-2025 18:30,Barclays Center,Brooklyn Nets,LA Clippers,100,132,LA Clippers
1069,21,28-03-2025 18:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,108,97,Toronto Raptors
1070,21,28-03-2025 19:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,107,116,New York Knicks
1071,21,28-03-2025 19:00,Target Center,Minnesota Timberwolves,Phoenix Suns,124,109,Minnesota Timberwolves
1072,21,28-03-2025 19:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,95,111,Golden State Warriors
1073,21,28-03-2025 20:00,Ball Arena,Denver Nuggets,Utah Jazz,129,93,Denver Nuggets
1074,21,29-03-2025 16:00,Kia Center,Orlando Magic,Sacramento Kings,121,91,Orlando Magic
1075,21,29-03-2025 18:00,Capital One Arena,Washington Wizards,Brooklyn Nets,112,115,Brooklyn Nets
1076,21,29-03-2025 18:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,95,118,Miami Heat
1077,21,29-03-2025 19:00,United Center,Chicago Bulls,Dallas Mavericks,119,120,Dallas Mavericks
1078,21,29-03-2025 19:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,127,134,Los Angeles Lakers
1079,21,29-03-2025 19:00,Paycom Center,Oklahoma City Thunder,Indiana Pacers,132,111,Oklahoma City Thunder
1080,21,29-03-2025 19:00,Frost Bank Center,San Antonio Spurs,Boston Celtics,111,121,Boston Celtics
1081,21,30-03-2025 14:30,Rocket Arena,Cleveland Cavaliers,LA Clippers,127,122,Cleveland Cavaliers
1082,21,30-03-2025 17:00,Madison Square Garden,New York Knicks,Portland Trail Blazers,110,93,New York Knicks
1083,21,30-03-2025 18:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,124,145,Atlanta Hawks
1084,21,30-03-2025 18:00,Target Center,Minnesota Timberwolves,Detroit Pistons,123,104,Minnesota Timberwolves
1085,21,30-03-2025 18:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,98,94,New Orleans Pelicans
1086,21,30-03-2025 18:00,Frost Bank Center,San Antonio Spurs,Golden State Warriors,106,148,Golden State Warriors
1087,21,30-03-2025 18:30,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,109,127,Toronto Raptors
1088,21,30-03-2025 20:00,PHX Arena,Phoenix Suns,Houston Rockets,109,148,Houston Rockets
1089,21,31-03-2025 18:00,Spectrum Center,Charlotte Hornets,Utah Jazz,110,106,Charlotte Hornets
1090,21,31-03-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Sacramento Kings,111,109,Indiana Pacers
1091,21,31-03-2025 18:00,Kia Center,Orlando Magic,LA Clippers,87,96,LA Clippers
1092,21,31-03-2025 18:00,Capital One Arena,Washington Wizards,Miami Heat,94,120,Miami Heat
1093,21,31-03-2025 18:30,FedExForum,Memphis Grizzlies,Boston Celtics,103,117,Boston Celtics
1094,21,31-03-2025 19:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,145,117,Oklahoma City Thunder
1095,21,31-03-2025 19:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,109,113,Brooklyn Nets
1096,21,31-03-2025 21:00,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,104,98,Los Angeles Lakers
1097,21,01-04-2025 18:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,113,127,Portland Trail Blazers
1098,21,01-04-2025 18:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,105,91,New York Knicks
1101,21,01-04-2025 18:30,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,133,123,Milwaukee Bucks
988,21,01-04-2025 19:00,Frost Bank Center,San Antonio Spurs,Orlando Magic,105,116,Orlando Magic
1099,21,01-04-2025 19:00,United Center,Chicago Bulls,Toronto Raptors,137,118,Chicago Bulls
1100,21,01-04-2025 19:00,FedExForum,Memphis Grizzlies,Golden State Warriors,125,134,Golden State Warriors
1102,21,01-04-2025 21:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,139,140,Minnesota Timberwolves
1103,22,02-04-2025 18:00,Rocket Arena,Cleveland Cavaliers,New York Knicks,124,105,Cleveland Cavaliers
1104,22,02-04-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,119,105,Indiana Pacers
1105,22,02-04-2025 18:00,Capital One Arena,Washington Wizards,Sacramento Kings,116,111,Washington Wizards
1106,22,02-04-2025 18:30,TD Garden,Boston Celtics,Miami Heat,103,124,Miami Heat
1107,22,02-04-2025 19:00,Toyota Center,Houston Rockets,Utah Jazz,143,105,Houston Rockets
1109,22,02-04-2025 19:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,120,118,Dallas Mavericks
1110,22,02-04-2025 20:00,Ball Arena,Denver Nuggets,San Antonio Spurs,106,113,San Antonio Spurs
1108,22,02-04-2025 20:30,Paycom Center,Oklahoma City Thunder,Detroit Pistons,119,103,Oklahoma City Thunder
1111,22,02-04-2025 21:30,Intuit Dome,LA Clippers,New Orleans Pelicans,114,98,LA Clippers
1112,22,03-04-2025 18:00,Capital One Arena,Washington Wizards,Orlando Magic,97,109,Orlando Magic
1115,22,03-04-2025 18:00,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,113,126,Milwaukee Bucks
1113,22,03-04-2025 18:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,90,105,Minnesota Timberwolves
1114,22,03-04-2025 18:30,Kaseya Center,Miami Heat,Memphis Grizzlies,108,110,Memphis Grizzlies
1116,22,03-04-2025 18:30,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,103,112,Portland Trail Blazers
1117,22,03-04-2025 21:00,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,116,123,Golden State Warriors
1118,22,04-04-2025 18:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,102,125,Sacramento Kings
1119,22,04-04-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Utah Jazz,140,112,Indiana Pacers
