Year,Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Winner
2017,1,1,27-10-2017 17:20,Allianz Stadium,Sydney FC,Brisbane Roar,1,3,Brisbane Roar
2017,2,1,27-10-2017 22:00,nib Stadium,Perth Glory,Melbourne City,4,1,Perth Glory
2017,3,1,28-10-2017 16:30,Epping Stadium,Melbourne Victory,Canberra United,2,1,Melbourne Victory
2017,4,1,29-10-2017 14:30,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers,2,1,Newcastle Jets
2017,5,2,03-11-2017 17:20,AAMI Park,Melbourne City,Melbourne Victory,1,0,Melbourne City
2017,6,2,03-11-2017 19:30,Marconi Stadium,Western Sydney Wanderers,Adelaide United,2,1,Western Sydney Wanderers
2017,7,2,04-11-2017 17:00,McDonald Jones Stadium,Newcastle Jets,Sydney FC,2,0,Newcastle Jets
2017,8,2,05-11-2017 14:30,Suncorp Stadium,Brisbane Roar,Perth Glory,1,4,Perth Glory
2017,9,3,10-11-2017 17:20,Marden Sports Complex,Adelaide United,Perth Glory,3,1,Adelaide United
2017,10,3,10-11-2017 19:30,Marconi Stadium,Western Sydney Wanderers,Brisbane Roar,0,1,Brisbane Roar
2017,11,3,12-11-2017 16:30,McKellar Park,Canberra United,Sydney FC,3,2,Canberra United
2017,12,3,12-11-2017 16:30,AAMI Park,Melbourne City,Newcastle Jets,5,2,Melbourne City
2017,13,4,17-11-2017 17:20,Suncorp Stadium,Brisbane Roar,Adelaide United,1,0,Brisbane Roar
2017,14,4,18-11-2017 17:00,Allianz Stadium,Sydney FC,Melbourne City,3,2,Sydney FC
2017,15,4,19-11-2017 16:30,No.2 Sportsground,Newcastle Jets,Canberra United,1,2,Canberra United
2017,16,4,19-11-2017 16:30,nib Stadium,Perth Glory,Melbourne Victory,3,1,Perth Glory
2017,18,5,24-11-2017 19:30,Lakeside Stadium,Melbourne Victory,Western Sydney Wanderers,1,1,Draw
2017,17,5,25-11-2017 16:00,McKellar Park,Canberra United,Perth Glory,3,2,Canberra United
2017,19,5,25-11-2017 19:30,Marden Sports Complex,Adelaide United,Newcastle Jets,1,2,Newcastle Jets
2017,20,6,01-12-2017 16:30,Marconi Stadium,Western Sydney Wanderers,Perth Glory,0,1,Perth Glory
2017,21,6,02-12-2017 16:00,Cromer Park,Sydney FC,Melbourne Victory,2,0,Sydney FC
2017,22,6,03-12-2017 16:30,McKellar Park,Canberra United,Brisbane Roar,0,1,Brisbane Roar
2017,23,6,03-12-2017 17:00,Lakeside Stadium,Melbourne City,Adelaide United,1,1,Draw
2017,24,7,09-12-2017 16:30,Lakeside Stadium,Melbourne Victory,Adelaide United,4,0,Melbourne Victory
2017,25,7,09-12-2017 17:00,ANZ Stadium,Western Sydney Wanderers,Sydney FC,1,3,Sydney FC
2017,26,7,10-12-2017 16:30,AAMI Park,Melbourne City,Canberra United,2,1,Melbourne City
2017,27,7,10-12-2017 17:30,A.J Kelly Reserve,Brisbane Roar,Newcastle Jets,0,3,Newcastle Jets
2017,28,8,15-12-2017 17:20,Allianz Stadium,Sydney FC,Canberra United,3,0,Sydney FC
2017,29,8,15-12-2017 20:00,Marden Sports Complex,Adelaide United,Western Sydney Wanderers,1,2,Western Sydney Wanderers
2017,30,8,16-12-2017 20:15,McDonald Jones Stadium,Newcastle Jets,Perth Glory,3,3,Draw
2017,31,8,17-12-2017 16:30,Suncorp Stadium,Brisbane Roar,Melbourne City,2,0,Brisbane Roar
2017,32,9,29-12-2017 17:20,AAMI Park,Melbourne Victory,Newcastle Jets,1,3,Newcastle Jets
2017,33,9,29-12-2017 20:00,Marden Sports Complex,Adelaide United,Sydney FC,1,2,Sydney FC
2017,34,9,29-12-2017 22:00,Dorrien Gardens,Perth Glory,Brisbane Roar,0,2,Brisbane Roar
2017,35,9,01-01-2018 17:20,ANZ Stadium,Western Sydney Wanderers,Melbourne City,0,1,Melbourne City
2017,36,10,03-01-2018 17:20,Allianz Stadium,Sydney FC,Newcastle Jets,2,2,Draw
2017,37,10,05-01-2018 17:20,Suncorp Stadium,Brisbane Roar,Melbourne Victory,2,1,Brisbane Roar
2017,39,10,07-01-2018 16:30,Melbourne City Football Academy,Melbourne City,Perth Glory,3,0,Melbourne City
2017,38,10,07-01-2018 18:30,McKellar Park,Canberra United,Adelaide United,6,1,Canberra United
2017,40,11,12-01-2018 17:20,McDonald Jones Stadium,Newcastle Jets,Adelaide United,1,2,Adelaide United
2017,41,11,14-01-2018 16:30,Epping Stadium,Melbourne Victory,Melbourne City,2,1,Melbourne Victory
2017,42,11,14-01-2018 16:30,McKellar Park,Canberra United,Western Sydney Wanderers,2,0,Canberra United
2017,43,11,14-01-2018 22:00,Dorrien Gardens,Perth Glory,Sydney FC,0,2,Sydney FC
2017,44,12,19-01-2018 17:20,ANZ Stadium,Western Sydney Wanderers,Melbourne Victory,1,1,Draw
2017,45,12,20-01-2018 19:30,Hay Park,Perth Glory,Canberra United,4,4,Draw
2017,46,12,21-01-2018 16:30,AAMI Park,Melbourne City,Brisbane Roar,0,0,Draw
2017,47,13,26-01-2018 17:20,AAMI Park,Melbourne Victory,Sydney FC,1,2,Sydney FC
2017,48,13,28-01-2018 16:30,McKellar Park,Canberra United,Newcastle Jets,1,5,Newcastle Jets
2017,49,13,28-01-2018 18:30,Marden Sports Complex,Adelaide United,Brisbane Roar,2,4,Brisbane Roar
2017,50,13,28-01-2018 23:15,nib Stadium,Perth Glory,Western Sydney Wanderers,3,4,Western Sydney Wanderers
2017,51,14,02-02-2018 20:00,Marden Sports Complex,Adelaide United,Melbourne Victory,2,1,Adelaide United
2017,52,14,03-02-2018 20:15,McDonald Jones Stadium,Newcastle Jets,Melbourne City,0,3,Melbourne City
2017,53,14,04-02-2018 16:00,Seymour Shaw Park,Sydney FC,Western Sydney Wanderers,4,1,Sydney FC
2017,54,14,04-02-2018 16:30,Suncorp Stadium,Brisbane Roar,Canberra United,4,1,Brisbane Roar
2018,1,1,25-10-2018 19:30,Marconi Stadium,Western Sydney Wanderers,Sydney FC,0,3,Sydney FC
2018,2,1,28-10-2018 14:30,Suncorp Stadium,Brisbane Roar,Perth Glory,1,1,Draw
2018,3,1,28-10-2018 16:00,McKellar Park,Canberra United,Melbourne City,2,0,Canberra United
2018,4,1,28-10-2018 16:15,AAMI Park,Melbourne Victory,Adelaide United,0,0,Draw
2018,5,2,01-11-2018 19:30,Lakeside Stadium,Melbourne Victory,Newcastle Jets,2,1,Melbourne Victory
2018,6,2,02-11-2018 17:20,AAMI Park,Melbourne City,Sydney FC,3,1,Melbourne City
2018,7,2,04-11-2018 15:30,Marconi Stadium,Western Sydney Wanderers,Brisbane Roar,0,1,Brisbane Roar
2018,8,2,04-11-2018 16:00,McKellar Park,Canberra United,Perth Glory,4,4,Draw
2018,9,3,16-11-2018 19:30,AAMI Park,Melbourne City,Melbourne Victory,0,2,Melbourne Victory
2018,10,3,17-11-2018 19:30,McDonald Jones Stadium,Newcastle Jets,Canberra United,1,0,Newcastle Jets
2018,11,3,17-11-2018 22:00,Dorrien Gardens,Perth Glory,Western Sydney Wanderers,3,0,Perth Glory
2018,12,3,18-11-2018 16:00,Lions Stadium,Brisbane Roar,Adelaide United,0,1,Adelaide United
2018,13,4,22-11-2018 19:30,Coopers Stadium,Adelaide United,Canberra United,2,0,Adelaide United
2018,14,4,24-11-2018 19:30,Marconi Stadium,Western Sydney Wanderers,Newcastle Jets,0,1,Newcastle Jets
2018,15,4,25-11-2018 14:30,Jubilee Stadium,Sydney FC,Melbourne Victory,2,3,Melbourne Victory
2018,16,4,25-11-2018 21:45,HBF Park,Perth Glory,Melbourne City,5,2,Perth Glory
2018,17,5,29-11-2018 19:30,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar,0,1,Brisbane Roar
2018,18,5,01-12-2018 19:30,C.B. Smith Reserve,Melbourne City,Adelaide United,1,1,Draw
2018,19,5,02-12-2018 16:00,Latrobe City Stadium,Melbourne Victory,Western Sydney Wanderers,2,1,Melbourne Victory
2018,20,5,02-12-2018 16:00,McKellar Park,Canberra United,Sydney FC,2,0,Canberra United
2018,21,6,06-12-2018 19:30,Marden Sports Complex,Adelaide United,Perth Glory,2,2,Draw
2018,22,6,07-12-2018 17:20,Spotless Stadium,Western Sydney Wanderers,Canberra United,2,2,Draw
2018,23,6,09-12-2018 14:30,McDonald Jones Stadium,Newcastle Jets,Melbourne City,1,3,Melbourne City
2018,24,6,09-12-2018 16:00,Seymour Shaw,Sydney FC,Brisbane Roar,5,1,Sydney FC
2018,25,7,13-12-2018 19:30,Cromer Park,Sydney FC,Adelaide United,5,2,Sydney FC
2018,26,7,15-12-2018 22:00,Dorrien Gardens,Perth Glory,Newcastle Jets,2,2,Draw
2018,27,7,16-12-2018 16:00,Lions Stadium,Brisbane Roar,Melbourne Victory,4,3,Brisbane Roar
2018,28,8,20-12-2018 19:30,"Dolphin Stadium, Redcliffe",Brisbane Roar,Western Sydney Wanderers,3,1,Brisbane Roar
2018,29,8,21-12-2018 18:30,HBF Park,Perth Glory,Sydney FC,2,1,Perth Glory
2018,30,8,21-12-2018 19:30,Marden Sports Complex,Adelaide United,Melbourne Victory,3,2,Adelaide United
2018,31,8,22-12-2018 17:00,AAMI Park,Melbourne City,Canberra United,3,0,Melbourne City
2018,32,9,27-12-2018 19:30,McKellar Park,Canberra United,Brisbane Roar,1,1,Draw
2018,33,9,28-12-2018 17:20,AAMI Park,Melbourne Victory,Perth Glory,2,1,Melbourne Victory
2018,34,9,31-12-2018 09:30,McDonald Jones Stadium,Newcastle Jets,Adelaide United,2,3,Adelaide United
2018,35,9,01-01-2019 17:20,ANZ Stadium,Western Sydney Wanderers,Melbourne City,1,2,Melbourne City
2018,36,10,03-01-2019 20:30,Dorrien Gardens,Perth Glory,Canberra United,1,0,Perth Glory
2018,37,10,04-01-2019 17:20,Jubilee Stadium,Sydney FC,Newcastle Jets,3,1,Sydney FC
2018,38,10,05-01-2019 16:00,Epping Stadium,Melbourne Victory,Melbourne City,1,0,Melbourne Victory
2018,39,11,10-01-2019 19:30,Leichhardt Oval,Sydney FC,Western Sydney Wanderers,3,0,Sydney FC
2018,40,11,11-01-2019 17:20,AAMI Park,Melbourne City,Brisbane Roar,0,1,Brisbane Roar
2018,41,11,12-01-2019 17:45,No.2 Sportsground,Newcastle Jets,Perth Glory,3,1,Newcastle Jets
2018,42,11,13-01-2019 16:00,McKellar Park,Canberra United,Adelaide United,1,0,Canberra United
2018,44,12,19-01-2019 16:30,Marden Sports Complex,Adelaide United,Western Sydney Wanderers,1,4,Western Sydney Wanderers
2018,45,12,19-01-2019 18:00,Lions Stadium,Brisbane Roar,Sydney FC,1,3,Sydney FC
2018,46,12,20-01-2019 19:30,C.B. Smith Reserve,Melbourne City,Newcastle Jets,4,0,Melbourne City
2018,47,13,24-01-2019 19:30,Marconi Stadium,Western Sydney Wanderers,Perth Glory,1,5,Perth Glory
2018,48,13,25-01-2019 17:20,Suncorp Stadium,Brisbane Roar,Canberra United,4,1,Brisbane Roar
2018,49,13,25-01-2019 19:30,Marden Sports Complex,Adelaide United,Newcastle Jets,1,2,Newcastle Jets
2018,50,13,27-01-2019 16:00,Lakeside Stadium,Melbourne Victory,Sydney FC,2,2,Draw
2018,51,14,31-01-2019 19:30,WIN Stadium,Sydney FC,Melbourne City,0,2,Melbourne City
2018,52,14,01-02-2019 19:30,Marden Sports Complex,Adelaide United,Brisbane Roar,1,0,Adelaide United
2018,53,14,01-02-2019 22:00,Dorrien Gardens,Perth Glory,Melbourne Victory,1,2,Melbourne Victory
2018,54,14,02-02-2019 19:30,No.2 Sportsground,Newcastle Jets,Western Sydney Wanderers,4,1,Newcastle Jets
2018,43,14,05-02-2019 18:00,Seiffert Oval,Canberra United,Melbourne Victory,0,0,Draw
2018,55,Semi Finals,10-02-2019 14:00,AAMI Park,Melbourne Victory,Perth Glory,2,4,Perth Glory
2018,56,Semi Finals,10-02-2019 19:15,"Dolphin Stadium, Redcliffe",Brisbane Roar,Sydney FC,1,2,Sydney FC
2018,57,Grand Final,16-02-2019 16:30,Jubilee Stadium,Sydney FC,Perth Glory,4,2,Sydney FC
2019,1,1,14-11-2019 19:30,Marconi Stadium,Western Sydney Wanderers FC,Adelaide United,2,1,Western Sydney Wanderers FC
2019,2,1,17-11-2019 16:00,Netstrata Jubilee Stadium,Sydney FC,Melbourne Victory,3,0,Sydney FC
2019,3,1,17-11-2019 16:00,McKellar Park,Canberra United,Perth Glory,2,0,Canberra United
2019,4,1,17-11-2019 18:00,No.2 Sportsground,Newcastle Jets,Melbourne City FC,1,1,Draw
2019,5,2,21-11-2019 19:30,Dolphin Stadium,Brisbane Roar FC,Melbourne Victory,2,3,Melbourne Victory
2019,6,2,22-11-2019 17:00,Bankwest Stadium,Western Sydney Wanderers FC,Newcastle Jets,1,0,Western Sydney Wanderers FC
2019,7,2,22-11-2019 19:30,Marden Sports Complex,Adelaide United,Sydney FC,0,1,Sydney FC
2019,8,2,24-11-2019 16:00,McKellar Park,Canberra United,Melbourne City FC,1,2,Melbourne City FC
2019,9,3,28-11-2019 19:30,Lions FC Stadium,Brisbane Roar FC,Western Sydney Wanderers FC,1,3,Western Sydney Wanderers FC
2019,10,3,30-11-2019 16:50,McDonald Jones Stadium,Newcastle Jets,Canberra United,2,3,Canberra United
2019,11,3,30-11-2019 19:00,John McEwan Reserve,Melbourne City FC,Adelaide United,1,0,Melbourne City FC
2019,12,3,01-12-2019 16:00,Dorrien Gardens,Perth Glory,Sydney FC,1,3,Sydney FC
2019,13,4,05-12-2019 19:30,McKellar Park,Canberra United,Brisbane Roar FC,1,2,Brisbane Roar FC
2019,14,4,07-12-2019 16:00,Latrobe City Stadium,Melbourne Victory,Western Sydney Wanderers FC,1,1,Draw
2019,15,4,07-12-2019 22:15,Dorrien Gardens,Perth Glory,Newcastle Jets,1,2,Newcastle Jets
2019,16,4,08-12-2019 16:00,Cromer Park,Sydney FC,Melbourne City FC,1,2,Melbourne City FC
2019,17,5,12-12-2019 19:30,ABD Stadium,Melbourne City FC,Melbourne Victory,1,0,Melbourne City FC
2019,18,5,13-12-2019 22:15,Dorrien Gardens,Perth Glory,Canberra United,1,1,Draw
2019,19,5,14-12-2019 17:30,Lions FC Stadium,Brisbane Roar FC,Adelaide United,3,2,Brisbane Roar FC
2019,20,5,15-12-2019 16:00,McDonald Jones Stadium,Newcastle Jets,Sydney FC,0,2,Sydney FC
2019,21,6,19-12-2019 19:30,ABD Stadium,Melbourne City FC,Perth Glory,1,0,Melbourne City FC
2019,22,6,20-12-2019 17:00,Bankwest Stadium,Western Sydney Wanderers FC,Sydney FC,5,0,Western Sydney Wanderers FC
2019,23,6,21-12-2019 10:30,Epping Stadium,Melbourne Victory,Brisbane Roar FC,0,0,Draw
2019,24,6,22-12-2019 16:00,Marden Sports Complex,Adelaide United,Canberra United,1,2,Canberra United
2019,25,7,26-12-2019 19:30,McKellar Park,Canberra United,Western Sydney Wanderers FC,0,4,Western Sydney Wanderers FC
2019,26,7,28-12-2019 22:15,Dorrien Gardens,Perth Glory,Melbourne Victory,1,2,Melbourne Victory
2019,27,7,29-12-2019 16:00,Netstrata Jubilee Stadium,Sydney FC,Adelaide United,2,0,Sydney FC
2019,28,7,29-12-2019 17:00,Lions FC Stadium,Brisbane Roar FC,Newcastle Jets,2,1,Brisbane Roar FC
2019,29,8,02-01-2020 19:30,Dolphin Stadium,Brisbane Roar FC,Melbourne City FC,0,2,Melbourne City FC
2019,30,8,03-01-2020 21:00,Marden Sports Complex,Adelaide United,Perth Glory,2,2,Draw
2019,31,8,05-01-2020 16:00,AAMI Park,Melbourne Victory,Newcastle Jets,2,1,Melbourne Victory
2019,33,9,09-01-2020 19:30,ABD Stadium,Melbourne City FC,Canberra United,4,0,Melbourne City FC
2019,35,9,12-01-2020 16:00,Marconi Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,0,4,Brisbane Roar FC
2019,32,9,13-01-2020 18:00,McKellar Park,Canberra United,Sydney FC,0,4,Sydney FC
2019,36,10,16-01-2020 19:30,Leichhardt Oval,Sydney FC,Brisbane Roar FC,0,0,Draw
2019,39,10,18-01-2020 17:00,AAMI Park,Melbourne City FC,Newcastle Jets,2,0,Melbourne City FC
2019,37,10,18-01-2020 19:30,Marden Sports Complex,Adelaide United,Melbourne Victory,0,3,Melbourne Victory
2019,38,10,19-01-2020 16:00,Bankwest Stadium,Western Sydney Wanderers FC,Perth Glory,3,1,Western Sydney Wanderers FC
2019,40,11,23-01-2020 19:30,McDonald Jones Stadium,Newcastle Jets,Perth Glory,2,4,Perth Glory
2019,41,11,25-01-2020 19:30,Marden Sports Complex,Adelaide United,Western Sydney Wanderers FC,3,2,Adelaide United
2019,42,11,26-01-2020 16:00,Lakeside Stadium,Melbourne Victory,Canberra United,3,0,Melbourne Victory
2019,34,11,01-02-2020 19:50,McDonald Jones Stadium,Newcastle Jets,Adelaide United,2,0,Newcastle Jets
2019,44,12,15-02-2020 17:00,Cromer Park,Sydney FC,Western Sydney Wanderers FC,3,0,Sydney FC
2019,45,12,16-02-2020 15:30,Dorrien Gardens,Perth Glory,Brisbane Roar FC,4,2,Perth Glory
2019,43,12,16-02-2020 16:00,Lakeside Stadium,Melbourne Victory,Melbourne City FC,0,4,Melbourne City FC
2019,46,12,16-02-2020 16:00,McKellar Park,Canberra United,Adelaide United,3,1,Canberra United
2019,47,13,20-02-2020 19:30,Marconi Stadium,Western Sydney Wanderers FC,Melbourne City FC,0,4,Melbourne City FC
2019,50,13,22-02-2020 16:00,WIN Stadium,Sydney FC,Perth Glory,1,2,Perth Glory
2019,49,13,23-02-2020 16:00,No.2 Sportsground,Newcastle Jets,Melbourne Victory,0,7,Melbourne Victory
2019,48,13,23-02-2020 17:30,Lions FC Stadium,Brisbane Roar FC,Canberra United,5,0,Brisbane Roar FC
2019,51,14,27-02-2020 19:30,Marden Sports Complex,Adelaide United,Newcastle Jets,2,1,Adelaide United
2019,52,14,29-02-2020 17:00,Marvel Stadium,Melbourne Victory,Sydney FC,3,1,Melbourne Victory
2019,53,14,29-02-2020 22:15,WML Stadium,Perth Glory,Western Sydney Wanderers FC,2,3,Western Sydney Wanderers FC
2019,54,14,01-03-2020 16:00,AAMI Park,Melbourne City FC,Brisbane Roar FC,3,1,Melbourne City FC
2019,55,Semi Finals,14-03-2020 14:00,Epping Stadium,Melbourne Victory,Sydney FC,0,1,Sydney FC
2019,56,Semi Finals,15-03-2020 13:30,ABD Stadium,Melbourne City FC,Western Sydney Wanderers FC,5,1,Melbourne City FC
2019,57,Grand Final,21-03-2020 15:30,AAMI Park,Melbourne City FC,Sydney FC,1,0,Melbourne City FC
2020,43,1,29-12-2020 16:35,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Melbourne City FC,0,0,Draw
2020,40,1,30-12-2020 16:35,Bankwest Stadium,Western Sydney Wanderers FC,Sydney FC,0,3,Sydney FC
2020,23,1,30-12-2020 18:35,Viking Park,Canberra United,Adelaide United,4,3,Canberra United
2020,20,2,02-01-2021 19:05,Wanderers Centre of Football,Western Sydney Wanderers FC,Newcastle Jets,2,1,Western Sydney Wanderers FC
2020,11,2,03-01-2021 16:05,Viking Park,Canberra United,Melbourne City FC,2,1,Canberra United
2020,18,2,03-01-2021 18:05,CB Smith Reserve,Melbourne Victory,Brisbane Roar FC,0,0,Draw
2020,51,3,07-01-2021 19:05,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Canberra United,1,1,Draw
2020,32,3,08-01-2021 16:35,McDonald Jones Stadium,Newcastle Jets,Sydney FC,1,2,Sydney FC
2020,55,3,09-01-2021 19:05,Marden Sports Complex,Adelaide United,Perth Glory,1,0,Adelaide United
2020,21,3,10-01-2021 16:05,CB Smith Reserve,Melbourne City FC,Melbourne Victory,0,6,Melbourne Victory
2020,42,4,14-01-2021 20:05,Dorrien Gardens,Perth Glory,Adelaide United,1,2,Adelaide United
2020,14,4,16-01-2021 19:40,Stadium Australia,Sydney FC,Western Sydney Wanderers FC,2,0,Sydney FC
2020,38,4,17-01-2021 16:05,Epping Stadium,Melbourne Victory,Melbourne City FC,2,3,Melbourne City FC
2020,2,4,17-01-2021 18:40,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar FC,1,1,Draw
2020,52,5,21-01-2021 19:05,Marden Sports Complex,Adelaide United,Melbourne City FC,2,1,Adelaide United
2020,56,5,22-01-2021 21:05,Gold Coast Sports Centre,Brisbane Roar FC,Melbourne Victory,6,0,Brisbane Roar FC
2020,41,5,23-01-2021 16:05,No.2 Sportsground,Newcastle Jets,Western Sydney Wanderers FC,4,1,Newcastle Jets
2020,39,5,24-01-2021 16:05,Viking Park,Canberra United,Perth Glory,1,1,Draw
2020,10,6,29-01-2021 19:05,Marden Sports Complex,Adelaide United,Melbourne Victory,0,1,Melbourne Victory
2020,50,6,30-01-2021 17:05,Viking Park,Canberra United,Western Sydney Wanderers FC,3,0,Canberra United
2020,57,6,31-01-2021 16:05,AAMI Park,Melbourne City FC,Brisbane Roar FC,2,3,Brisbane Roar FC
2020,58,6,31-01-2021 18:05,Cromer Park,Sydney FC,Newcastle Jets,2,0,Sydney FC
2020,64,7,04-02-2021 19:05,AAMI Park,Melbourne City FC,Sydney FC,0,2,Sydney FC
2020,29,7,07-02-2021 16:05,Marconi Stadium,Western Sydney Wanderers FC,Adelaide United,2,2,Draw
2020,65,7,07-02-2021 18:05,Latrobe City Stadium,Melbourne Victory,Newcastle Jets,4,2,Melbourne Victory
2020,60,7,08-02-2021 16:35,Netstrata Jubilee Stadium,Sydney FC,Canberra United,4,0,Sydney FC
2020,61,8,11-02-2021 19:05,Marconi Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,1,2,Brisbane Roar FC
2020,33,8,14-02-2021 16:05,Leichhardt Oval,Sydney FC,Brisbane Roar FC,1,4,Brisbane Roar FC
2020,62,8,14-02-2021 18:05,Marden Sports Complex,Adelaide United,Canberra United,2,1,Adelaide United
2020,66,9,18-02-2021 19:10,Marconi Stadium,Western Sydney Wanderers FC,Perth Glory,1,0,Western Sydney Wanderers FC
2020,63,9,20-02-2021 16:05,No.2 Sportsground,Newcastle Jets,Melbourne Victory,0,2,Melbourne Victory
2020,45,9,21-02-2021 16:05,Cromer Park,Sydney FC,Adelaide United,2,1,Sydney FC
2020,8,9,21-02-2021 18:05,Lions FC Stadium,Brisbane Roar FC,Perth Glory,4,0,Brisbane Roar FC
2020,67,10,25-02-2021 19:05,Wanderers Centre of Football,Western Sydney Wanderers FC,Melbourne City FC,1,0,Western Sydney Wanderers FC
2020,68,10,25-02-2021 21:35,Dorrien Gardens,Perth Glory,Sydney FC,2,6,Sydney FC
2020,69,10,26-02-2021 18:05,No.2 Sportsground,Newcastle Jets,Adelaide United,1,2,Adelaide United
2020,70,10,28-02-2021 16:05,Epping Stadium,Melbourne Victory,Canberra United,1,1,Draw
2020,71,11,04-03-2021 19:05,AAMI Park,Melbourne Victory,Western Sydney Wanderers FC,1,0,Melbourne Victory
2020,72,11,06-03-2021 19:05,Marden Sports Complex,Adelaide United,Sydney FC,2,0,Adelaide United
2020,73,11,07-03-2021 16:05,Viking Park,Canberra United,Brisbane Roar FC,4,1,Canberra United
2020,74,11,08-03-2021 21:35,Dorrien Gardens,Perth Glory,Newcastle Jets,0,4,Newcastle Jets
2020,75,12,11-03-2021 19:05,Frank Holohan Reserve,Melbourne City FC,Western Sydney Wanderers FC,0,4,Western Sydney Wanderers FC
2020,3,12,12-03-2021 18:05,Viking Park,Perth Glory,Canberra United,2,3,Canberra United
2020,76,12,12-03-2021 21:05,Lions FC Stadium,Brisbane Roar FC,Adelaide United,4,2,Brisbane Roar FC
2020,44,12,14-03-2021 16:05,Frank Holohan Reserve,Melbourne City FC,Newcastle Jets,1,0,Melbourne City FC
2020,35,12,16-03-2021 21:35,Dorrien Gardens,Perth Glory,Melbourne Victory,0,1,Melbourne Victory
2020,77,13,19-03-2021 21:35,Dorrien Gardens,Perth Glory,Melbourne City FC,0,1,Melbourne City FC
2020,79,13,20-03-2021 18:35,No.2 Sportsground,Newcastle Jets,Canberra United,0,1,Canberra United
2020,80,13,21-03-2021 16:05,Coopers Stadium,Adelaide United,Western Sydney Wanderers FC,3,1,Adelaide United
2020,59,14,25-03-2021 19:05,Frank Holohan Reserve,Melbourne City FC,Perth Glory,2,1,Melbourne City FC
2020,81,14,26-03-2021 17:35,Viking Park,Canberra United,Sydney FC,0,0,Draw
2020,13,14,28-03-2021 16:05,Epping Stadium,Melbourne Victory,Perth Glory,6,0,Melbourne Victory
2020,82,14,28-03-2021 18:05,Lions FC Stadium,Brisbane Roar FC,Newcastle Jets,3,0,Brisbane Roar FC
2020,78,14,31-03-2021 19:35,Cromer Park,Sydney FC,Melbourne Victory,2,1,Sydney FC
2020,83,Semi Finals,04-04-2021 16:00,Lions FC Stadium,Brisbane Roar FC,Melbourne Victory,2,6,Melbourne Victory
2020,84,Semi Finals,05-04-2021 15:00,Netstrata Jubilee Stadium,Sydney FC,Canberra United,3,0,Sydney FC
2020,85,Grand Final,11-04-2021 16:05,Netstrata Jubilee Stadium,Sydney FC,Melbourne Victory,0,1,Melbourne Victory
2021,1,1,03-12-2021 17:05,WIN Stadium,Wellington Phoenix,Western Sydney Wanderers FC,0,0,Draw
2021,2,1,03-12-2021 19:45,Viking Park,Canberra United,Melbourne City FC,0,1,Melbourne City FC
2021,3,1,04-12-2021 17:05,Netstrata Jubilee Stadium,Sydney FC,Newcastle Jets,3,1,Sydney FC
2021,4,1,04-12-2021 22:05,Macedonia Park,Perth Glory,Brisbane Roar FC,2,1,Perth Glory
2021,5,1,05-12-2021 16:05,AAMI Park,Melbourne Victory,Adelaide United,5,1,Melbourne Victory
2021,6,2,10-12-2021 17:05,McDonald Jones Stadium,Newcastle Jets,Wellington Phoenix,5,1,Newcastle Jets
2021,7,2,10-12-2021 19:45,Perry Park,Brisbane Roar FC,Perth Glory,0,1,Perth Glory
2021,8,2,11-12-2021 17:05,CommBank Stadium,Western Sydney Wanderers FC,Sydney FC,0,2,Sydney FC
2021,9,2,12-12-2021 16:05,AAMI Park,Melbourne City FC,Melbourne Victory,1,2,Melbourne Victory
2021,10,2,12-12-2021 18:30,Marden Sports Complex,Adelaide United,Canberra United,2,1,Adelaide United
2021,11,3,17-12-2021 17:05,Blacktown Football Park 1,Western Sydney Wanderers FC,Newcastle Jets,1,1,Draw
2021,12,3,18-12-2021 17:05,Moreton Daily Stadium,Brisbane Roar FC,Melbourne Victory,2,3,Melbourne Victory
2021,13,3,18-12-2021 17:05,AAMI Park,Melbourne City FC,Adelaide United,3,1,Melbourne City FC
2021,15,3,19-12-2021 16:05,Netstrata Jubilee Stadium,Sydney FC,Wellington Phoenix,3,0,Sydney FC
2021,17,4,23-12-2021 17:05,Viking Park,Canberra United,Brisbane Roar FC,3,3,Draw
2021,18,4,26-12-2021 17:05,AAMI Park,Melbourne Victory,Melbourne City FC,1,5,Melbourne City FC
2021,19,4,27-12-2021 16:05,Leichhardt Oval,Sydney FC,Western Sydney Wanderers FC,0,0,Draw
2021,20,4,27-12-2021 18:45,Central Coast Stadium,Wellington Phoenix,Newcastle Jets,0,1,Newcastle Jets
2021,21,5,30-12-2021 17:05,WIN Stadium,Wellington Phoenix,Sydney FC,0,5,Sydney FC
2021,16,5,01-01-2022 17:05,Coopers Stadium,Adelaide United,Perth Glory,4,2,Adelaide United
2021,23,5,02-01-2022 16:05,AAMI Park,Melbourne Victory,Brisbane Roar FC,2,4,Brisbane Roar FC
2021,14,5,05-01-2022 17:05,Blacktown Football Park 1,Perth Glory,Canberra United,0,0,Draw
2021,27,6,08-01-2022 17:05,Viking Park,Canberra United,Adelaide United,1,3,Adelaide United
