Year,Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Winner
2023,90,15,03-02-2024 14:15,North Hobart Oval,Western United,Central Coast Mariners,2,1,Western United
2023,85,15,03-02-2024 17:00,Coopers Stadium,Adelaide United,Western Sydney Wanderers,2,1,Adelaide United
2023,87,15,03-02-2024 18:00,Perry Park,Brisbane Roar,Melbourne Victory,1,2,Melbourne Victory
2023,86,15,03-02-2024 19:00,Leichhardt Oval,Sydney,Perth Glory,3,1,Sydney
2023,88,15,04-02-2024 17:00,McKellar Park,Canberra United,Melbourne City,3,1,Canberra United
2023,89,15,04-02-2024 17:00,No.2 Sportsground,Newcastle Jets,Wellington Phoenix,3,2,Newcastle Jets
2023,91,16,09-02-2024 19:00,Carrington Park,Western Sydney Wanderers,Newcastle Jets,2,1,Western Sydney Wanderers
2023,92,16,10-02-2024 17:00,Industree Group Stadium,Central Coast Mariners,Melbourne Victory,1,1,Draw
2023,96,16,10-02-2024 17:30,City Football Academy Field,Melbourne City,Sydney,0,0,Draw
2023,94,16,10-02-2024 22:30,Macedonia Park,Perth Glory,Canberra United,2,2,Draw
2023,93,16,11-02-2024 17:00,City Vista Recreation Reserve Pitch 1,Western United,Brisbane Roar,3,2,Western United
2023,95,16,20-03-2024 15:00,Porirua Park,Wellington Phoenix,Adelaide United,4,0,Wellington Phoenix
2023,97,17,16-02-2024 19:00,Home of the Matildas,Melbourne Victory,Western Sydney Wanderers,4,0,Melbourne Victory
2023,98,17,17-02-2024 17:00,Maitland Sports Ground,Newcastle Jets,Brisbane Roar,3,0,Newcastle Jets
2023,100,17,18-02-2024 17:00,City Football Academy Field,Melbourne City,Adelaide United,1,1,Draw
2023,101,17,18-02-2024 17:00,City Vista Recreation Reserve Pitch 1,Western United,Wellington Phoenix,3,0,Western United
2023,102,17,18-02-2024 22:30,Macedonia Park,Perth Glory,Central Coast Mariners,1,3,Central Coast Mariners
2023,99,17,27-03-2024 16:00,McKellar Park,Canberra United,Sydney,1,0,Canberra United
2023,103,18,01-03-2024 16:30,City Vista Recreation Reserve Pitch 1,Western United,Canberra United,4,2,Western United
2023,106,18,02-03-2024 17:00,CommBank Stadium,Western Sydney Wanderers,Sydney,0,2,Sydney
2023,105,18,02-03-2024 18:00,Perry Park,Brisbane Roar,Melbourne City,2,0,Brisbane Roar
2023,107,18,03-03-2024 14:00,Home of the Matildas,Melbourne Victory,Wellington Phoenix,5,3,Melbourne Victory
2023,104,18,03-03-2024 16:00,Industree Group Stadium,Central Coast Mariners,Adelaide United,2,0,Central Coast Mariners
2023,108,18,03-03-2024 16:00,Maitland Sports Ground,Newcastle Jets,Perth Glory,1,1,Draw
2023,109,19,08-03-2024 22:00,Macedonia Park,Perth Glory,Wellington Phoenix,1,3,Wellington Phoenix
2023,112,19,09-03-2024 15:00,McKellar Park,Canberra United,Western Sydney Wanderers,1,1,Draw
2023,111,19,09-03-2024 16:00,Ballymore Stadium,Brisbane Roar,Central Coast Mariners,0,2,Central Coast Mariners
2023,110,19,09-03-2024 19:00,Leichhardt Oval,Sydney,Western United,3,1,Sydney
2023,114,19,10-03-2024 18:00,City Football Academy Field,Melbourne City,Newcastle Jets,2,0,Melbourne City
2023,113,19,10-03-2024 19:30,Coopers Stadium,Adelaide United,Melbourne Victory,1,4,Melbourne Victory
