Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result,
65,21,10-08-2020 19:00,VISA Athletic Center,Miami Heat,Indiana Pacers,114,92,Miami Heat,
66,21,10-08-2020 20:00,AdventHealth Arena,Los Angeles Lakers,Denver Nuggets,124,121,Los Angeles Lakers,
67,21,11-08-2020 12:00,AdventHealth Arena,Orlando Magic,Brooklyn Nets,96,108,Brooklyn Nets,
68,21,11-08-2020 13:00,The Field House,San Antonio Spurs,Houston Rockets,123,105,San Antonio Spurs,
69,21,11-08-2020 15:30,VISA Athletic Center,Philadelphia 76ers,Phoenix Suns,117,130,Phoenix Suns,
71,21,11-08-2020 16:00,The Field House,Memphis Grizzlies,Boston Celtics,107,122,Boston Celtics,
70,21,11-08-2020 17:30,AdventHealth Arena,Dallas Mavericks,Portland Trail Blazers,131,134,Portland Trail Blazers,
72,21,11-08-2020 20:00,AdventHealth Arena,Sacramento Kings,New Orleans Pelicans,112,106,Sacramento Kings,
73,21,11-08-2020 20:00,VISA Athletic Center,Washington Wizards,Milwaukee Bucks,113,126,Milwaukee Bucks,
74,21,12-08-2020 15:00,AdventHealth Arena,Houston Rockets,Indiana Pacers,104,108,Indiana Pacers,
75,21,12-08-2020 17:30,The Field House,Philadelphia 76ers,Toronto Raptors,121,125,Toronto Raptors,
76,21,12-08-2020 19:00,VISA Athletic Center,Oklahoma City Thunder,Miami Heat,116,115,Oklahoma City Thunder,
77,21,12-08-2020 20:00,AdventHealth Arena,Denver Nuggets,LA Clippers,111,124,LA Clippers,
78,22,13-08-2020 11:00,AdventHealth Arena,Boston Celtics,Washington Wizards,90,96,Washington Wizards,
80,22,13-08-2020 12:30,The Field House,Los Angeles Lakers,Sacramento Kings,122,136,Sacramento Kings,
81,22,13-08-2020 15:00,VISA Athletic Center,Memphis Grizzlies,Milwaukee Bucks,119,106,Memphis Grizzlies,
83,22,13-08-2020 15:00,AdventHealth Arena,Phoenix Suns,Dallas Mavericks,128,102,Phoenix Suns,
84,22,13-08-2020 17:30,The Field House,Utah Jazz,San Antonio Spurs,118,112,Utah Jazz,
79,22,13-08-2020 20:00,AdventHealth Arena,Brooklyn Nets,Portland Trail Blazers,133,134,Portland Trail Blazers,
82,22,13-08-2020 20:00,VISA Athletic Center,Orlando Magic,New Orleans Pelicans,133,127,Orlando Magic,
88,22,14-08-2020 12:30,The Field House,Toronto Raptors,Denver Nuggets,117,109,Toronto Raptors,
86,22,14-08-2020 15:00,AdventHealth Arena,Indiana Pacers,Miami Heat,109,92,Indiana Pacers,
87,22,14-08-2020 17:30,The Field House,LA Clippers,Oklahoma City Thunder,107,103,LA Clippers,
85,22,14-08-2020 20:00,AdventHealth Arena,Houston Rockets,Philadelphia 76ers,96,134,Philadelphia 76ers,
