Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result,
375,8,13-12-2019 19:00,United Center,Chicago Bulls,Charlotte Hornets,73,83,Charlotte Hornets,
376,8,13-12-2019 19:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,114,127,Milwaukee Bucks,
379,8,13-12-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,114,106,Utah Jazz,
377,8,13-12-2019 20:30,Target Center,Minnesota Timberwolves,LA Clippers,117,124,LA Clippers,
378,8,13-12-2019 21:00,Golden 1 Center,Sacramento Kings,New York Knicks,101,103,New York Knicks,
380,8,14-12-2019 16:00,Arena Ciudad de Mexico,Phoenix Suns,San Antonio Spurs,119,121,San Antonio Spurs,
381,8,14-12-2019 18:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,110,102,Toronto Raptors,
382,8,14-12-2019 19:00,United Center,Chicago Bulls,LA Clippers,109,106,Chicago Bulls,
383,8,14-12-2019 19:00,FedExForum,Memphis Grizzlies,Washington Wizards,128,111,Memphis Grizzlies,
384,8,14-12-2019 19:30,American Airlines Center,Dallas Mavericks,Miami Heat,118,122,Miami Heat,
385,8,14-12-2019 19:30,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,125,108,Milwaukee Bucks,
386,8,14-12-2019 20:00,Toyota Center,Houston Rockets,Detroit Pistons,107,115,Detroit Pistons,
387,8,14-12-2019 20:00,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,110,102,Denver Nuggets,
388,8,15-12-2019 14:30,Smoothie King Center,New Orleans Pelicans,Orlando Magic,119,130,Orlando Magic,
389,8,15-12-2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Charlotte Hornets,107,85,Indiana Pacers,
390,8,15-12-2019 17:00,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,96,101,Los Angeles Lakers,
391,8,15-12-2019 17:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,109,89,Brooklyn Nets,
392,8,15-12-2019 19:00,Pepsi Center,Denver Nuggets,New York Knicks,111,105,Denver Nuggets,
393,8,15-12-2019 19:30,Chase Center,Golden State Warriors,Sacramento Kings,79,100,Sacramento Kings,
394,8,16-12-2019 18:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,119,133,Washington Wizards,
395,8,16-12-2019 18:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,133,113,Toronto Raptors,
396,8,16-12-2019 19:00,Toyota Center,Houston Rockets,San Antonio Spurs,109,107,Houston Rockets,
397,8,16-12-2019 19:00,FedExForum,Memphis Grizzlies,Miami Heat,118,111,Memphis Grizzlies,
398,8,16-12-2019 19:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,116,120,Dallas Mavericks,
399,8,16-12-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Chicago Bulls,109,106,Oklahoma City Thunder,
400,8,16-12-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Portland Trail Blazers,110,111,Portland Trail Blazers,
401,8,17-12-2019 18:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,110,102,Charlotte Hornets,
402,8,17-12-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Los Angeles Lakers,105,102,Indiana Pacers,
403,8,17-12-2019 18:30,Madison Square Garden,New York Knicks,Atlanta Hawks,143,120,New York Knicks,
404,8,17-12-2019 19:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,101,108,Brooklyn Nets,
405,8,17-12-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Orlando Magic,109,102,Utah Jazz,
406,8,17-12-2019 21:30,Staples Center,LA Clippers,Phoenix Suns,120,99,LA Clippers,
407,8,18-12-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,100,98,Cleveland Cavaliers,
408,8,18-12-2019 18:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,99,112,Toronto Raptors,
409,8,18-12-2019 18:00,Capital One Arena,Washington Wizards,Chicago Bulls,109,110,Chicago Bulls,
410,8,18-12-2019 18:00,Wells Fargo Center,Philadelphia 76ers,Miami Heat,104,108,Miami Heat,
411,8,18-12-2019 19:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,99,107,New Orleans Pelicans,
412,8,18-12-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,126,122,Oklahoma City Thunder,
414,8,18-12-2019 20:00,Pepsi Center,Denver Nuggets,Orlando Magic,113,104,Denver Nuggets,
413,8,18-12-2019 20:30,American Airlines Center,Dallas Mavericks,Boston Celtics,103,109,Boston Celtics,
415,8,18-12-2019 21:00,Moda Center,Portland Trail Blazers,Golden State Warriors,122,112,Portland Trail Blazers,
416,9,19-12-2019 18:30,State Farm Arena,Atlanta Hawks,Utah Jazz,106,111,Utah Jazz,
417,9,19-12-2019 19:00,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,111,104,Milwaukee Bucks,
418,9,19-12-2019 19:30,AT&T Center,San Antonio Spurs,Brooklyn Nets,118,105,San Antonio Spurs,
419,9,19-12-2019 21:30,Staples Center,LA Clippers,Houston Rockets,117,122,Houston Rockets,
420,9,20-12-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Memphis Grizzlies,114,107,Cleveland Cavaliers,
421,9,20-12-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Sacramento Kings,119,105,Indiana Pacers,
422,9,20-12-2019 18:30,TD Garden,Boston Celtics,Detroit Pistons,114,93,Boston Celtics,
423,9,20-12-2019 18:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,122,118,Toronto Raptors,
424,9,20-12-2019 19:00,American Airlines Arena,Miami Heat,New York Knicks,129,114,Miami Heat,
425,9,20-12-2019 19:00,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,98,117,Dallas Mavericks,
426,9,20-12-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,126,108,Oklahoma City Thunder,
427,9,20-12-2019 20:00,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,109,100,Denver Nuggets,
428,9,20-12-2019 21:00,Moda Center,Portland Trail Blazers,Orlando Magic,118,103,Portland Trail Blazers,
429,9,20-12-2019 21:30,Chase Center,Golden State Warriors,New Orleans Pelicans,106,102,Golden State Warriors,
430,9,21-12-2019 16:00,Spectrum Center,Charlotte Hornets,Utah Jazz,107,114,Utah Jazz,
431,9,21-12-2019 17:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,122,112,Brooklyn Nets,
432,9,21-12-2019 18:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,107,119,Chicago Bulls,
433,9,21-12-2019 18:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,125,108,Philadelphia 76ers,
434,9,21-12-2019 18:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,102,123,Milwaukee Bucks,
435,9,21-12-2019 19:00,FedExForum,Memphis Grizzlies,Sacramento Kings,119,115,Memphis Grizzlies,
436,9,21-12-2019 19:30,AT&T Center,San Antonio Spurs,LA Clippers,109,134,LA Clippers,
437,9,21-12-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Houston Rockets,125,139,Houston Rockets,
438,9,21-12-2019 21:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,113,106,Portland Trail Blazers,
439,9,22-12-2019 14:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,110,107,Toronto Raptors,
440,9,22-12-2019 17:00,TD Garden,Boston Celtics,Charlotte Hornets,119,93,Boston Celtics,
441,9,22-12-2019 18:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,117,89,Milwaukee Bucks,
442,9,22-12-2019 18:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,118,112,Oklahoma City Thunder,
443,9,22-12-2019 20:30,Staples Center,Los Angeles Lakers,Denver Nuggets,104,128,Denver Nuggets,
444,9,23-12-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,121,118,Cleveland Cavaliers,
445,9,23-12-2019 18:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,109,125,Philadelphia 76ers,
446,9,23-12-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,120,115,Indiana Pacers,
447,9,23-12-2019 18:00,Madison Square Garden,New York Knicks,Washington Wizards,115,121,Washington Wizards,
448,9,23-12-2019 18:00,Amway Center,Orlando Magic,Chicago Bulls,103,95,Orlando Magic,
449,9,23-12-2019 18:30,American Airlines Arena,Miami Heat,Utah Jazz,107,104,Miami Heat,
450,9,23-12-2019 19:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,115,145,San Antonio Spurs,
451,9,23-12-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,111,113,Denver Nuggets,
452,9,23-12-2019 21:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,94,102,New Orleans Pelicans,
453,9,23-12-2019 21:00,Golden 1 Center,Sacramento Kings,Houston Rockets,104,113,Houston Rockets,
454,9,23-12-2019 21:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,113,104,Golden State Warriors,
455,9,25-12-2019 11:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,102,118,Boston Celtics,
456,9,25-12-2019 13:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,121,109,Philadelphia 76ers,
457,9,25-12-2019 16:00,Chase Center,Golden State Warriors,Houston Rockets,116,104,Golden State Warriors,
458,9,25-12-2019 19:00,Staples Center,Los Angeles Lakers,LA Clippers,106,111,LA Clippers,
459,9,25-12-2019 21:30,Pepsi Center,Denver Nuggets,New Orleans Pelicans,100,112,New Orleans Pelicans,
460,10,26-12-2019 18:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,132,102,Detroit Pistons,
461,10,26-12-2019 18:30,Barclays Center,Brooklyn Nets,New York Knicks,82,94,New York Knicks,
462,10,26-12-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,97,110,Memphis Grizzlies,
463,10,26-12-2019 19:00,American Airlines Center,Dallas Mavericks,San Antonio Spurs,102,98,Dallas Mavericks,
464,10,26-12-2019 21:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,104,105,Minnesota Timberwolves,
465,10,26-12-2019 21:30,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,121,115,Utah Jazz,
466,10,27-12-2019 15:00,TD Garden,Boston Celtics,Cleveland Cavaliers,129,117,Boston Celtics,
467,10,27-12-2019 18:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,102,104,Oklahoma City Thunder,
468,10,27-12-2019 18:00,Amway Center,Orlando Magic,Philadelphia 76ers,98,97,Orlando Magic,
469,10,27-12-2019 18:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,86,112,Milwaukee Bucks,
470,10,27-12-2019 19:00,American Airlines Arena,Miami Heat,Indiana Pacers,113,112,Miami Heat,
471,10,27-12-2019 21:30,Chase Center,Golden State Warriors,Phoenix Suns,105,96,Golden State Warriors,
472,10,28-12-2019 16:00,Pepsi Center,Denver Nuggets,Memphis Grizzlies,119,110,Denver Nuggets,
473,10,28-12-2019 18:00,TD Garden,Boston Celtics,Toronto Raptors,97,113,Toronto Raptors,
474,10,28-12-2019 18:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,120,98,New Orleans Pelicans,
475,10,28-12-2019 19:00,American Airlines Arena,Miami Heat,Philadelphia 76ers,117,116,Miami Heat,
476,10,28-12-2019 19:00,Capital One Arena,Washington Wizards,New York Knicks,100,107,New York Knicks,
477,10,28-12-2019 19:00,United Center,Chicago Bulls,Atlanta Hawks,116,81,Chicago Bulls,
478,10,28-12-2019 19:00,Toyota Center,Houston Rockets,Brooklyn Nets,108,98,Houston Rockets,
479,10,28-12-2019 19:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,88,94,Cleveland Cavaliers,
480,10,28-12-2019 19:30,Fiserv Forum,Milwaukee Bucks,Orlando Magic,111,100,Milwaukee Bucks,
481,10,28-12-2019 19:30,AT&T Center,San Antonio Spurs,Detroit Pistons,136,109,San Antonio Spurs,
482,10,28-12-2019 19:30,Chase Center,Golden State Warriors,Dallas Mavericks,121,141,Dallas Mavericks,
483,10,28-12-2019 20:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,110,112,Phoenix Suns,
484,10,28-12-2019 21:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,120,128,Los Angeles Lakers,
485,10,28-12-2019 21:30,Staples Center,LA Clippers,Utah Jazz,107,120,Utah Jazz,
486,10,29-12-2019 17:00,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,97,98,Oklahoma City Thunder,
487,10,29-12-2019 19:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,117,104,Memphis Grizzlies,
488,10,29-12-2019 19:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,127,112,New Orleans Pelicans,
489,10,29-12-2019 19:00,Pepsi Center,Denver Nuggets,Sacramento Kings,120,115,Denver Nuggets,
490,10,29-12-2019 20:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,108,95,Los Angeles Lakers,
491,10,30-12-2019 18:00,Amway Center,Orlando Magic,Atlanta Hawks,93,101,Atlanta Hawks,
492,10,30-12-2019 18:00,Capital One Arena,Washington Wizards,Miami Heat,123,105,Washington Wizards,
493,10,30-12-2019 19:00,United Center,Chicago Bulls,Milwaukee Bucks,102,123,Milwaukee Bucks,
494,10,30-12-2019 19:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,122,115,Minnesota Timberwolves,
495,10,30-12-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Detroit Pistons,104,81,Utah Jazz,
496,10,30-12-2019 21:00,Moda Center,Portland Trail Blazers,Phoenix Suns,116,122,Phoenix Suns,
497,10,31-12-2019 14:00,Spectrum Center,Charlotte Hornets,Boston Celtics,92,109,Boston Celtics,
498,10,31-12-2019 14:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,115,97,Indiana Pacers,
499,10,31-12-2019 16:00,Golden 1 Center,Sacramento Kings,LA Clippers,87,105,LA Clippers,
500,10,31-12-2019 18:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,117,97,Toronto Raptors,
501,10,31-12-2019 18:00,Toyota Center,Houston Rockets,Denver Nuggets,130,104,Houston Rockets,
502,10,31-12-2019 18:00,AT&T Center,San Antonio Spurs,Golden State Warriors,117,113,San Antonio Spurs,
503,10,31-12-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,106,101,Oklahoma City Thunder,
504,10,01-01-2020 17:00,Capital One Arena,Washington Wizards,Orlando Magic,101,122,Orlando Magic,
505,10,01-01-2020 18:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,117,93,New York Knicks,
506,10,01-01-2020 19:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,106,104,Milwaukee Bucks,
507,10,01-01-2020 21:30,Staples Center,Los Angeles Lakers,Phoenix Suns,117,107,Los Angeles Lakers,
508,11,02-01-2020 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,106,109,Charlotte Hornets,
509,11,02-01-2020 18:00,Bankers Life Fieldhouse,Indiana Pacers,Denver Nuggets,116,124,Denver Nuggets,
510,11,02-01-2020 18:30,American Airlines Arena,Miami Heat,Toronto Raptors,84,76,Miami Heat,
511,11,02-01-2020 19:00,United Center,Chicago Bulls,Utah Jazz,98,102,Utah Jazz,
512,11,02-01-2020 19:00,Target Center,Minnesota Timberwolves,Golden State Warriors,99,84,Minnesota Timberwolves,
513,11,02-01-2020 19:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,123,111,Dallas Mavericks,
514,11,02-01-2020 19:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,103,109,Oklahoma City Thunder,
515,11,02-01-2020 21:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,128,123,Sacramento Kings,
516,11,02-01-2020 21:30,Staples Center,LA Clippers,Detroit Pistons,126,112,LA Clippers,
517,11,03-01-2020 18:00,TD Garden,Boston Celtics,Atlanta Hawks,109,106,Boston Celtics,
518,11,03-01-2020 18:00,Amway Center,Orlando Magic,Miami Heat,105,85,Orlando Magic,
519,11,03-01-2020 18:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,103,122,Portland Trail Blazers,
520,11,03-01-2020 19:00,Toyota Center,Houston Rockets,Philadelphia 76ers,118,108,Houston Rockets,
521,11,03-01-2020 20:00,Talking Stick Resort Arena,Phoenix Suns,New York Knicks,120,112,Phoenix Suns,
522,11,03-01-2020 21:30,Staples Center,Los Angeles Lakers,New Orleans Pelicans,123,113,Los Angeles Lakers,
523,11,04-01-2020 14:30,Staples Center,LA Clippers,Memphis Grizzlies,114,140,Memphis Grizzlies,
524,11,04-01-2020 17:00,Barclays Center,Brooklyn Nets,Toronto Raptors,102,121,Toronto Raptors,
525,11,04-01-2020 18:00,Amway Center,Orlando Magic,Utah Jazz,96,109,Utah Jazz,
526,11,04-01-2020 18:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,116,111,Atlanta Hawks,
527,11,04-01-2020 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Oklahoma City Thunder,106,121,Oklahoma City Thunder,
528,11,04-01-2020 19:00,Capital One Arena,Washington Wizards,Denver Nuggets,128,114,Washington Wizards,
529,11,04-01-2020 19:00,United Center,Chicago Bulls,Boston Celtics,104,111,Boston Celtics,
530,11,04-01-2020 19:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,120,123,Charlotte Hornets,
531,11,04-01-2020 19:30,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,127,118,Milwaukee Bucks,
532,11,04-01-2020 19:30,Chase Center,Golden State Warriors,Detroit Pistons,104,111,Detroit Pistons,
533,11,04-01-2020 21:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,115,117,New Orleans Pelicans,
534,11,05-01-2020 14:30,Staples Center,LA Clippers,New York Knicks,135,132,LA Clippers,
535,11,05-01-2020 17:00,American Airlines Arena,Miami Heat,Portland Trail Blazers,122,111,Miami Heat,
536,11,05-01-2020 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Minnesota Timberwolves,103,118,Minnesota Timberwolves,
537,11,05-01-2020 19:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,114,121,Memphis Grizzlies,
538,11,05-01-2020 21:00,Staples Center,Los Angeles Lakers,Detroit Pistons,106,99,Los Angeles Lakers,
539,11,06-01-2020 18:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,104,115,Indiana Pacers,
540,11,06-01-2020 18:00,Amway Center,Orlando Magic,Brooklyn Nets,101,89,Orlando Magic,
541,11,06-01-2020 18:00,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,120,113,Philadelphia 76ers,
542,11,06-01-2020 18:00,Capital One Arena,Washington Wizards,Boston Celtics,99,94,Washington Wizards,
543,11,06-01-2020 18:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,115,123,Denver Nuggets,
544,11,06-01-2020 19:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,126,128,Utah Jazz,
545,11,06-01-2020 19:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,118,110,Dallas Mavericks,
546,11,06-01-2020 19:30,AT&T Center,San Antonio Spurs,Milwaukee Bucks,126,104,San Antonio Spurs,
547,11,06-01-2020 21:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,111,98,Sacramento Kings,
548,11,07-01-2020 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,113,115,Detroit Pistons,
549,11,07-01-2020 18:00,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,99,101,Portland Trail Blazers,
550,11,07-01-2020 18:30,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,103,111,Oklahoma City Thunder,
551,11,07-01-2020 19:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,119,112,Memphis Grizzlies,
552,11,07-01-2020 20:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,103,114,Sacramento Kings,
553,11,07-01-2020 21:30,Staples Center,Los Angeles Lakers,New York Knicks,117,87,Los Angeles Lakers,
554,11,08-01-2020 18:00,TD Garden,Boston Celtics,San Antonio Spurs,114,129,San Antonio Spurs,
555,11,08-01-2020 18:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,110,112,Toronto Raptors,
556,11,08-01-2020 18:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,108,122,Miami Heat,
557,11,08-01-2020 18:00,Amway Center,Orlando Magic,Washington Wizards,123,89,Orlando Magic,
558,11,08-01-2020 18:30,State Farm Arena,Atlanta Hawks,Houston Rockets,115,122,Houston Rockets,
559,11,08-01-2020 18:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,106,107,Denver Nuggets,
560,11,08-01-2020 19:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,123,108,New Orleans Pelicans,
561,11,08-01-2020 20:00,Vivint Smart Home Arena,Utah Jazz,New York Knicks,128,104,Utah Jazz,
562,11,08-01-2020 21:00,Chase Center,Golden State Warriors,Milwaukee Bucks,98,107,Milwaukee Bucks,
563,12,09-01-2020 18:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,112,115,Cleveland Cavaliers,
564,12,09-01-2020 18:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,109,98,Philadelphia 76ers,
565,12,09-01-2020 19:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,116,102,Minnesota Timberwolves,
566,12,09-01-2020 20:30,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,113,92,Oklahoma City Thunder,
567,12,10-01-2020 18:00,Capital One Arena,Washington Wizards,Atlanta Hawks,111,101,Washington Wizards,
569,12,10-01-2020 18:15,Madison Square Garden,New York Knicks,New Orleans Pelicans,111,123,New Orleans Pelicans,
568,12,10-01-2020 18:30,Barclays Center,Brooklyn Nets,Miami Heat,117,113,Brooklyn Nets,
570,12,10-01-2020 19:00,United Center,Chicago Bulls,Indiana Pacers,105,116,Indiana Pacers,
571,12,10-01-2020 19:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,134,121,Memphis Grizzlies,
573,12,10-01-2020 20:00,Talking Stick Resort Arena,Phoenix Suns,Orlando Magic,98,94,Phoenix Suns,
574,12,10-01-2020 20:00,Vivint Smart Home Arena,Utah Jazz,Charlotte Hornets,109,92,Utah Jazz,
572,12,10-01-2020 20:45,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,114,129,Los Angeles Lakers,
575,12,10-01-2020 21:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,106,127,Milwaukee Bucks,
576,12,10-01-2020 21:30,Staples Center,LA Clippers,Golden State Warriors,109,100,LA Clippers,
577,12,11-01-2020 16:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,139,109,Houston Rockets,
578,12,11-01-2020 18:00,TD Garden,Boston Celtics,New Orleans Pelicans,140,105,Boston Celtics,
579,12,11-01-2020 18:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,99,108,Chicago Bulls,
580,12,11-01-2020 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,110,125,Los Angeles Lakers,
581,12,11-01-2020 19:30,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,109,91,Dallas Mavericks,
582,12,11-01-2020 20:00,Pepsi Center,Denver Nuggets,Cleveland Cavaliers,103,111,Cleveland Cavaliers,
583,12,11-01-2020 21:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,101,122,Milwaukee Bucks,
584,12,12-01-2020 14:30,Madison Square Garden,New York Knicks,Miami Heat,124,121,New York Knicks,
585,12,12-01-2020 14:30,Capital One Arena,Washington Wizards,Utah Jazz,116,127,Utah Jazz,
586,12,12-01-2020 17:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,108,86,Brooklyn Nets,
587,12,12-01-2020 17:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,104,105,San Antonio Spurs,
588,12,12-01-2020 17:00,FedExForum,Memphis Grizzlies,Golden State Warriors,122,102,Memphis Grizzlies,
589,12,12-01-2020 19:00,Pepsi Center,Denver Nuggets,LA Clippers,114,104,Denver Nuggets,
590,12,12-01-2020 19:00,Talking Stick Resort Arena,Phoenix Suns,Charlotte Hornets,100,92,Phoenix Suns,
591,12,13-01-2020 18:00,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,110,117,New Orleans Pelicans,
592,12,13-01-2020 18:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,101,95,Indiana Pacers,
593,12,13-01-2020 18:30,TD Garden,Boston Celtics,Chicago Bulls,113,101,Boston Celtics,
594,12,13-01-2020 19:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,104,117,Oklahoma City Thunder,
595,12,13-01-2020 21:00,Moda Center,Portland Trail Blazers,Charlotte Hornets,115,112,Portland Trail Blazers,
596,12,13-01-2020 21:00,Golden 1 Center,Sacramento Kings,Orlando Magic,112,114,Orlando Magic,
597,12,13-01-2020 21:30,Staples Center,Los Angeles Lakers,Cleveland Cavaliers,128,99,Los Angeles Lakers,
598,12,14-01-2020 18:30,State Farm Arena,Atlanta Hawks,Phoenix Suns,123,110,Atlanta Hawks,
599,12,14-01-2020 18:30,Barclays Center,Brooklyn Nets,Utah Jazz,107,118,Utah Jazz,
600,12,14-01-2020 19:00,FedExForum,Memphis Grizzlies,Houston Rockets,121,110,Memphis Grizzlies,
601,12,14-01-2020 19:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,128,102,Milwaukee Bucks,
602,12,14-01-2020 21:30,Chase Center,Golden State Warriors,Dallas Mavericks,97,124,Dallas Mavericks,
603,12,14-01-2020 21:30,Staples Center,LA Clippers,Cleveland Cavaliers,128,103,LA Clippers,
604,12,15-01-2020 18:00,TD Garden,Boston Celtics,Detroit Pistons,103,116,Detroit Pistons,
605,12,15-01-2020 18:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,117,106,Philadelphia 76ers,
606,12,15-01-2020 18:30,American Airlines Arena,Miami Heat,San Antonio Spurs,106,100,Miami Heat,
607,12,15-01-2020 19:00,United Center,Chicago Bulls,Washington Wizards,115,106,Chicago Bulls,
608,12,15-01-2020 19:00,Target Center,Minnesota Timberwolves,Indiana Pacers,99,104,Indiana Pacers,
609,12,15-01-2020 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Toronto Raptors,121,130,Toronto Raptors,
610,12,15-01-2020 20:00,Pepsi Center,Denver Nuggets,Charlotte Hornets,100,86,Denver Nuggets,
611,12,15-01-2020 20:30,Toyota Center,Houston Rockets,Portland Trail Blazers,107,117,Portland Trail Blazers,
612,12,15-01-2020 21:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,123,127,Dallas Mavericks,
613,12,15-01-2020 21:30,Staples Center,Los Angeles Lakers,Orlando Magic,118,119,Orlando Magic,
614,13,16-01-2020 18:30,Madison Square Garden,New York Knicks,Phoenix Suns,98,121,Phoenix Suns,
615,13,16-01-2020 19:00,Fiserv Forum,Milwaukee Bucks,Boston Celtics,128,123,Milwaukee Bucks,
616,13,16-01-2020 19:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,138,132,New Orleans Pelicans,
617,13,16-01-2020 21:30,Chase Center,Golden State Warriors,Denver Nuggets,131,134,Denver Nuggets,
618,13,16-01-2020 21:30,Staples Center,LA Clippers,Orlando Magic,122,95,LA Clippers,
619,13,17-01-2020 18:00,Bankers Life Fieldhouse,Indiana Pacers,Minnesota Timberwolves,116,114,Indiana Pacers,
