Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
927,18,28-02-2023 18:30,FedExForum,Memphis Grizzlies,Los Angeles Lakers,121,109,Memphis Grizzlies
926,18,28-02-2023 19:00,Toyota Center,Houston Rockets,Denver Nuggets,112,133,Denver Nuggets
928,18,28-02-2023 19:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,117,123,Sacramento Kings
929,18,28-02-2023 19:30,American Airlines Center,Dallas Mavericks,Indiana Pacers,122,124,Indiana Pacers
930,18,28-02-2023 20:00,Vivint Arena,Utah Jazz,San Antonio Spurs,94,102,San Antonio Spurs
931,18,28-02-2023 21:00,Chase Center,Golden State Warriors,Portland Trail Blazers,123,105,Golden State Warriors
932,18,28-02-2023 21:00,Crypto.com Arena,LA Clippers,Minnesota Timberwolves,101,108,Minnesota Timberwolves
933,18,01-03-2023 18:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,91,105,Phoenix Suns
934,18,01-03-2023 18:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,115,117,Chicago Bulls
935,18,01-03-2023 18:30,TD Garden,Boston Celtics,Cleveland Cavaliers,117,113,Boston Celtics
936,18,01-03-2023 18:30,Miami-Dade Arena,Miami Heat,Philadelphia 76ers,96,119,Philadelphia 76ers
937,18,01-03-2023 18:30,Madison Square Garden,New York Knicks,Brooklyn Nets,142,118,New York Knicks
938,18,01-03-2023 19:00,Toyota Center,Houston Rockets,Memphis Grizzlies,99,113,Memphis Grizzlies
939,18,01-03-2023 19:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,139,117,Milwaukee Bucks
940,18,01-03-2023 19:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,117,123,Los Angeles Lakers
941,18,01-03-2023 21:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,110,121,New Orleans Pelicans
942,19,02-03-2023 18:00,Capital One Arena,Washington Wizards,Toronto Raptors,119,108,Washington Wizards
943,19,02-03-2023 18:30,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,133,126,Dallas Mavericks
944,19,02-03-2023 19:30,AT&T Center,San Antonio Spurs,Indiana Pacers,110,99,San Antonio Spurs
945,19,02-03-2023 21:00,Chase Center,Golden State Warriors,LA Clippers,115,91,Golden State Warriors
946,19,03-03-2023 18:00,Spectrum Center,Charlotte Hornets,Orlando Magic,106,117,Orlando Magic
947,19,03-03-2023 18:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,129,111,Atlanta Hawks
948,19,03-03-2023 18:30,TD Garden,Boston Celtics,Brooklyn Nets,105,115,Brooklyn Nets
949,19,03-03-2023 19:00,Miami-Dade Arena,Miami Heat,New York Knicks,120,122,New York Knicks
950,19,03-03-2023 19:00,United Center,Chicago Bulls,Phoenix Suns,104,125,Phoenix Suns
951,19,03-03-2023 19:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,130,103,Oklahoma City Thunder
952,19,03-03-2023 21:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,113,97,Denver Nuggets
953,19,03-03-2023 21:00,Chase Center,Golden State Warriors,New Orleans Pelicans,108,99,Golden State Warriors
954,19,03-03-2023 21:00,Golden 1 Center,Sacramento Kings,LA Clippers,128,127,Sacramento Kings
955,19,03-03-2023 21:30,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,102,110,Minnesota Timberwolves
956,19,04-03-2023 16:00,Capital One Arena,Washington Wizards,Toronto Raptors,109,116,Toronto Raptors
957,19,04-03-2023 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,114,90,Cleveland Cavaliers
958,19,04-03-2023 19:00,Miami-Dade Arena,Miami Heat,Atlanta Hawks,117,109,Miami Heat
959,19,04-03-2023 19:00,AT&T Center,San Antonio Spurs,Houston Rockets,110,122,Houston Rockets
960,19,04-03-2023 19:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,130,133,Philadelphia 76ers
961,19,04-03-2023 21:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,134,138,Minnesota Timberwolves
962,19,05-03-2023 12:00,American Airlines Center,Dallas Mavericks,Phoenix Suns,126,130,Phoenix Suns
963,19,05-03-2023 14:30,United Center,Chicago Bulls,Indiana Pacers,122,125,Indiana Pacers
964,19,05-03-2023 14:30,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,113,105,Los Angeles Lakers
965,19,05-03-2023 17:00,Barclays Center,Brooklyn Nets,Charlotte Hornets,102,86,Brooklyn Nets
966,19,05-03-2023 17:00,Amway Center,Orlando Magic,Portland Trail Blazers,119,122,Portland Trail Blazers
967,19,05-03-2023 18:00,Toyota Center,Houston Rockets,San Antonio Spurs,142,110,Houston Rockets
968,19,05-03-2023 18:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,129,119,Oklahoma City Thunder
969,19,05-03-2023 18:30,TD Garden,Boston Celtics,New York Knicks,129,131,New York Knicks
973,19,05-03-2023 18:30,Capital One Arena,Washington Wizards,Milwaukee Bucks,111,117,Milwaukee Bucks
970,19,05-03-2023 21:00,Crypto.com Arena,LA Clippers,Memphis Grizzlies,135,129,LA Clippers
971,19,06-03-2023 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,118,114,Cleveland Cavaliers
972,19,06-03-2023 18:00,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,143,147,Philadelphia 76ers
977,19,06-03-2023 18:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,104,110,Portland Trail Blazers
974,19,06-03-2023 18:30,Miami-Dade Arena,Miami Heat,Atlanta Hawks,130,128,Miami Heat
975,19,06-03-2023 20:00,Ball Arena,Denver Nuggets,Toronto Raptors,118,113,Denver Nuggets
976,19,06-03-2023 21:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,123,108,Sacramento Kings
769,19,07-03-2023 18:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,117,119,Washington Wizards
978,19,07-03-2023 18:00,Amway Center,Orlando Magic,Milwaukee Bucks,123,134,Milwaukee Bucks
979,19,07-03-2023 18:30,Madison Square Garden,New York Knicks,Charlotte Hornets,105,112,Charlotte Hornets
980,19,07-03-2023 18:30,Target Center,Minnesota Timberwolves,Philadelphia 76ers,94,117,Philadelphia 76ers
981,19,07-03-2023 19:00,Toyota Center,Houston Rockets,Brooklyn Nets,96,118,Brooklyn Nets
982,19,07-03-2023 19:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,137,128,Oklahoma City Thunder
983,19,07-03-2023 19:30,American Airlines Center,Dallas Mavericks,Utah Jazz,120,116,Dallas Mavericks
984,19,07-03-2023 21:00,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,112,103,Los Angeles Lakers
985,19,08-03-2023 18:00,Capital One Arena,Washington Wizards,Atlanta Hawks,120,122,Atlanta Hawks
986,19,08-03-2023 18:30,TD Garden,Boston Celtics,Portland Trail Blazers,115,93,Boston Celtics
987,19,08-03-2023 18:30,Miami-Dade Arena,Miami Heat,Cleveland Cavaliers,100,104,Cleveland Cavaliers
988,19,08-03-2023 18:30,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,113,106,New Orleans Pelicans
989,19,08-03-2023 20:00,Ball Arena,Denver Nuggets,Chicago Bulls,96,117,Chicago Bulls
990,19,08-03-2023 20:00,Footprint Center,Phoenix Suns,Oklahoma City Thunder,132,101,Phoenix Suns
991,19,08-03-2023 21:00,Crypto.com Arena,LA Clippers,Toronto Raptors,108,100,LA Clippers
992,20,09-03-2023 18:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,103,113,Charlotte Hornets
993,20,09-03-2023 18:00,Gainbridge Fieldhouse,Indiana Pacers,Houston Rockets,134,125,Indiana Pacers
994,20,09-03-2023 18:00,Amway Center,Orlando Magic,Utah Jazz,124,131,Utah Jazz
996,20,09-03-2023 18:30,FedExForum,Memphis Grizzlies,Golden State Warriors,131,110,Memphis Grizzlies
995,20,09-03-2023 19:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,118,113,Milwaukee Bucks
997,20,09-03-2023 21:00,Golden 1 Center,Sacramento Kings,New York Knicks,122,117,Sacramento Kings
998,20,10-03-2023 18:00,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,120,119,Philadelphia 76ers
999,20,10-03-2023 18:00,Capital One Arena,Washington Wizards,Atlanta Hawks,107,114,Atlanta Hawks
1000,20,10-03-2023 19:00,Miami-Dade Arena,Miami Heat,Cleveland Cavaliers,119,115,Miami Heat
1001,20,10-03-2023 19:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,123,124,Brooklyn Nets
1002,20,10-03-2023 19:00,AT&T Center,San Antonio Spurs,Denver Nuggets,128,120,San Antonio Spurs
1003,20,10-03-2023 21:30,Crypto.com Arena,Los Angeles Lakers,Toronto Raptors,122,112,Los Angeles Lakers
1004,20,11-03-2023 15:00,Crypto.com Arena,LA Clippers,New York Knicks,106,95,LA Clippers
1005,20,11-03-2023 18:00,Spectrum Center,Charlotte Hornets,Utah Jazz,111,119,Utah Jazz
1006,20,11-03-2023 18:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,115,121,Indiana Pacers
1007,20,11-03-2023 18:00,Amway Center,Orlando Magic,Miami Heat,126,114,Orlando Magic
1008,20,11-03-2023 18:30,State Farm Arena,Atlanta Hawks,Boston Celtics,125,134,Boston Celtics
1009,20,11-03-2023 19:00,Toyota Center,Houston Rockets,Chicago Bulls,111,119,Chicago Bulls
1010,20,11-03-2023 19:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,112,108,Memphis Grizzlies
1011,20,11-03-2023 19:30,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,96,110,Oklahoma City Thunder
1012,20,11-03-2023 19:30,Chase Center,Golden State Warriors,Milwaukee Bucks,125,116,Golden State Warriors
1013,20,11-03-2023 20:00,Footprint Center,Phoenix Suns,Sacramento Kings,119,128,Sacramento Kings
1014,20,12-03-2023 14:30,Ball Arena,Denver Nuggets,Brooklyn Nets,120,122,Brooklyn Nets
1015,20,12-03-2023 16:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,108,114,Cleveland Cavaliers
1016,20,12-03-2023 17:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,112,93,Philadelphia 76ers
1017,20,12-03-2023 18:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,127,110,New Orleans Pelicans
1018,20,12-03-2023 18:00,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,90,102,Oklahoma City Thunder
1019,20,12-03-2023 20:00,Crypto.com Arena,Los Angeles Lakers,New York Knicks,108,112,New York Knicks
1020,20,13-03-2023 18:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,117,97,Detroit Pistons
1021,20,13-03-2023 18:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,115,136,Minnesota Timberwolves
1022,20,13-03-2023 18:30,Miami-Dade Arena,Miami Heat,Utah Jazz,119,115,Miami Heat
1023,20,13-03-2023 18:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,88,104,Memphis Grizzlies
1024,20,13-03-2023 19:00,Toyota Center,Houston Rockets,Boston Celtics,111,109,Houston Rockets
1025,20,13-03-2023 21:00,Chase Center,Golden State Warriors,Phoenix Suns,123,112,Golden State Warriors
1026,20,13-03-2023 21:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,124,133,Milwaukee Bucks
1027,20,14-03-2023 18:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,104,120,Cleveland Cavaliers
1028,20,14-03-2023 18:00,Capital One Arena,Washington Wizards,Detroit Pistons,117,97,Washington Wizards
1029,20,14-03-2023 18:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,125,110,Toronto Raptors
1030,20,14-03-2023 19:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,108,123,Los Angeles Lakers
1031,20,14-03-2023 19:00,Paycom Center,Oklahoma City Thunder,Brooklyn Nets,121,107,Oklahoma City Thunder
1032,20,14-03-2023 19:00,AT&T Center,San Antonio Spurs,Orlando Magic,132,114,San Antonio Spurs
1033,20,14-03-2023 21:00,Footprint Center,Phoenix Suns,Milwaukee Bucks,104,116,Milwaukee Bucks
1034,20,14-03-2023 21:00,Moda Center,Portland Trail Blazers,New York Knicks,107,123,New York Knicks
1035,20,15-03-2023 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,109,118,Philadelphia 76ers
1036,20,15-03-2023 18:30,Miami-Dade Arena,Miami Heat,Memphis Grizzlies,138,119,Miami Heat
1037,20,15-03-2023 19:00,United Center,Chicago Bulls,Sacramento Kings,114,117,Sacramento Kings
1038,20,15-03-2023 19:00,Toyota Center,Houston Rockets,Los Angeles Lakers,114,110,Houston Rockets
1039,20,15-03-2023 19:00,Target Center,Minnesota Timberwolves,Boston Celtics,102,104,Boston Celtics
1040,20,15-03-2023 19:30,AT&T Center,San Antonio Spurs,Dallas Mavericks,128,137,Dallas Mavericks
1041,20,15-03-2023 21:00,Crypto.com Arena,LA Clippers,Golden State Warriors,134,126,LA Clippers
1042,21,16-03-2023 18:00,Little Caesars Arena,Detroit Pistons,Denver Nuggets,100,119,Denver Nuggets
1043,21,16-03-2023 18:30,Barclays Center,Brooklyn Nets,Sacramento Kings,96,101,Sacramento Kings
