Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
30/12/2017,Atalanta,Cagliari,Cagliari,1,2
30/12/2017,Benevento,Chievo,Benevento,1,0
30/12/2017,Bologna,Udinese,Udinese,1,2
30/12/2017,Roma,Sassuolo,Draw,1,1
30/12/2017,Sampdoria,Spal,Sampdoria,2,0
30/12/2017,Torino,Genoa,Draw,0,0
30/12/2017,Inter Milan,Lazio,Draw,0,0
30/12/2017,Verona,Juventus,Juventus,1,3
05/01/2018,Chievo,Udinese,Draw,1,1
05/01/2018,Fiorentina,Inter Milan,Draw,1,1
06/01/2018,Torino,Bologna,Torino,3,0
06/01/2018,AC Milan,Crotone,AC Milan,1,0
06/01/2018,Benevento,Sampdoria,Benevento,3,2
06/01/2018,Genoa,Sassuolo,Genoa,1,0
06/01/2018,Napoli,Verona,Napoli,2,0
06/01/2018,Spal,Lazio,Lazio,2,5
06/01/2018,Roma,Atalanta,Atalanta,1,2
06/01/2018,Cagliari,Juventus,Juventus,0,1
21/01/2018,Atalanta,Napoli,Napoli,0,1
21/01/2018,Bologna,Benevento,Bologna,3,0
21/01/2018,Lazio,Chievo,Lazio,5,1
21/01/2018,Sampdoria,Fiorentina,Sampdoria,3,1
21/01/2018,Sassuolo,Torino,Draw,1,1
21/01/2018,Udinese,Spal,Draw,1,1
21/01/2018,Verona,Crotone,Crotone,0,3
21/01/2018,Cagliari,AC Milan,AC Milan,1,2
21/01/2018,Inter Milan,Roma,Draw,1,1
22/01/2018,Juventus,Genoa,Juventus,1,0
24/01/2018,Lazio,Udinese,Lazio,3,0
24/01/2018,Sampdoria,Roma,Draw,1,1
27/01/2018,Sassuolo,Atalanta,Atalanta,0,3
27/01/2018,Chievo,Juventus,Juventus,0,2
28/01/2018,Spal,Inter Milan,Draw,1,1
28/01/2018,Crotone,Cagliari,Draw,1,1
28/01/2018,Fiorentina,Verona,Verona,1,4
28/01/2018,Genoa,Udinese,Udinese,0,1
28/01/2018,Napoli,Bologna,Napoli,3,1
28/01/2018,Torino,Benevento,Torino,3,0
28/01/2018,AC Milan,Lazio,AC Milan,2,1
28/01/2018,Roma,Sampdoria,Sampdoria,0,1
03/02/2018,Sampdoria,Torino,Draw,1,1
03/02/2018,Inter Milan,Crotone,Draw,1,1
04/02/2018,Verona,Roma,Roma,0,1
04/02/2018,Atalanta,Chievo,Atalanta,1,0
04/02/2018,Bologna,Fiorentina,Fiorentina,1,2
04/02/2018,Cagliari,Spal,Cagliari,2,0
04/02/2018,Juventus,Sassuolo,Juventus,7,0
04/02/2018,Udinese,AC Milan,Draw,1,1
04/02/2018,Benevento,Napoli,Napoli,0,2
05/02/2018,Lazio,Genoa,Genoa,1,2
09/02/2018,Fiorentina,Juventus,Juventus,0,2
10/02/2018,Spal,AC Milan,AC Milan,0,4
10/02/2018,Crotone,Atalanta,Draw,1,1
10/02/2018,Napoli,Lazio,Napoli,4,1
11/02/2018,Sassuolo,Cagliari,Draw,0,0
11/02/2018,Chievo,Genoa,Genoa,0,1
11/02/2018,Inter Milan,Bologna,Inter Milan,2,1
11/02/2018,Sampdoria,Verona,Sampdoria,2,0
11/02/2018,Torino,Udinese,Torino,2,0
11/02/2018,Roma,Benevento,Roma,5,2
17/02/2018,Udinese,Roma,Roma,0,2
17/02/2018,Chievo,Cagliari,Chievo,2,1
17/02/2018,Genoa,Inter Milan,Genoa,2,0
18/02/2018,Torino,Juventus,Juventus,0,1
18/02/2018,Benevento,Crotone,Benevento,3,2
18/02/2018,Bologna,Sassuolo,Bologna,2,1
18/02/2018,Napoli,Spal,Napoli,1,0
18/02/2018,Atalanta,Fiorentina,Draw,1,1
18/02/2018,AC Milan,Sampdoria,AC Milan,1,0
19/02/2018,Lazio,Verona,Lazio,2,0
24/02/2018,Bologna,Genoa,Bologna,2,0
24/02/2018,Inter Milan,Benevento,Inter Milan,2,0
25/02/2018,Crotone,Spal,Spal,2,3
25/02/2018,Fiorentina,Chievo,Fiorentina,1,0
25/02/2018,Sampdoria,Udinese,Sampdoria,2,1
25/02/2018,Sassuolo,Lazio,Lazio,0,3
25/02/2018,Verona,Torino,Verona,2,1
25/02/2018,Roma,AC Milan,AC Milan,0,2
26/02/2018,Cagliari,Napoli,Napoli,0,5
03/03/2018,Spal,Bologna,Spal,1,0
03/03/2018,Lazio,Juventus,Juventus,0,1
03/03/2018,Napoli,Roma,Roma,2,4
09/03/2018,Roma,Torino,Roma,3,0
10/03/2018,Verona,Chievo,Verona,1,0
11/03/2018,Fiorentina,Benevento,Fiorentina,1,0
11/03/2018,Bologna,Atalanta,Atalanta,0,1
11/03/2018,Cagliari,Lazio,Draw,2,2
11/03/2018,Crotone,Sampdoria,Crotone,4,1
11/03/2018,Juventus,Udinese,Juventus,2,0
11/03/2018,Sassuolo,Spal,Draw,1,1
11/03/2018,Genoa,AC Milan,AC Milan,0,1
11/03/2018,Inter Milan,Napoli,Draw,0,0
14/03/2018,Juventus,Atalanta,Juventus,2,0
17/03/2018,Udinese,Sassuolo,Sassuolo,1,2
17/03/2018,Spal,Juventus,Draw,0,0
18/03/2018,Sampdoria,Inter Milan,Inter Milan,0,5
18/03/2018,AC Milan,Chievo,AC Milan,3,2
18/03/2018,Benevento,Cagliari,Cagliari,1,2
18/03/2018,Crotone,Roma,Roma,0,2
18/03/2018,Torino,Fiorentina,Fiorentina,1,2
18/03/2018,Verona,Atalanta,Atalanta,0,5
18/03/2018,Lazio,Bologna,Draw,1,1
18/03/2018,Napoli,Genoa,Napoli,1,0
31/03/2018,Bologna,Roma,Draw,1,1
31/03/2018,Atalanta,Udinese,Atalanta,2,0
31/03/2018,Cagliari,Torino,Torino,0,4
31/03/2018,Fiorentina,Crotone,Fiorentina,2,0
31/03/2018,Genoa,Spal,Draw,1,1
31/03/2018,Inter Milan,Verona,Inter Milan,3,0
31/03/2018,Lazio,Benevento,Lazio,6,2
31/03/2018,Chievo,Sampdoria,Chievo,2,1
31/03/2018,Sassuolo,Napoli,Draw,1,1
31/03/2018,Juventus,AC Milan,Juventus,3,1
03/04/2018,Atalanta,Sampdoria,Sampdoria,1,2
03/04/2018,Genoa,Cagliari,Genoa,2,1
03/04/2018,Udinese,Fiorentina,Fiorentina,0,2
04/04/2018,Benevento,Verona,Benevento,3,0
04/04/2018,AC Milan,Inter Milan,Draw,0,0
04/04/2018,Chievo,Sassuolo,Draw,1,1
04/04/2018,Torino,Crotone,Torino,4,1
07/04/2018,Benevento,Juventus,Juventus,2,4
07/04/2018,Roma,Fiorentina,Fiorentina,0,2
07/04/2018,Spal,Atalanta,Draw,1,1
07/04/2018,Sampdoria,Genoa,Draw,0,0
08/04/2018,Torino,Inter Milan,Torino,1,0
08/04/2018,Crotone,Bologna,Crotone,1,0
08/04/2018,Napoli,Chievo,Napoli,2,1
08/04/2018,Verona,Cagliari,Verona,1,0
08/04/2018,Udinese,Lazio,Lazio,1,2
08/04/2018,AC Milan,Sassuolo,Draw,1,1
14/04/2018,Cagliari,Udinese,Cagliari,2,1
14/04/2018,Chievo,Torino,Draw,0,0
14/04/2018,Genoa,Crotone,Genoa,1,0
14/04/2018,Atalanta,Inter Milan,Draw,0,0
15/04/2018,AC Milan,Napoli,Draw,0,0
15/04/2018,Bologna,Verona,Bologna,2,0
15/04/2018,Sassuolo,Benevento,Draw,2,2
15/04/2018,Juventus,Sampdoria,Juventus,3,0
15/04/2018,Lazio,Roma,Draw,0,0
16/04/2018,Fiorentina,Spal,Draw,0,0
17/04/2018,Inter Milan,Cagliari,Inter Milan,4,0
18/04/2018,Benevento,Atalanta,Atalanta,0,3
