Match Number,Round Number,Date,Location,Home Team,Away Team,Result,Home Score,Away Score
201,21,18-01-2026 16:00,Giovanni Zini,Cremonese,Hellas Verona,,,
202,21,18-01-2026 16:00,Olimpico,Lazio,Como,,,
203,21,18-01-2026 16:00,San Siro,Milan,Lecce,,,
204,21,18-01-2026 16:00,Diego Armando Maradona,Napoli,Sassuolo,,,
205,21,18-01-2026 16:00,Ennio Tardini,Parma,Genoa,,,
206,21,18-01-2026 16:00,Garibaldi,Pisa,Atalanta,,,
207,21,18-01-2026 16:00,Olimpico Grande Torino,Torino,Roma,,,
208,21,18-01-2026 16:00,Friuli,Udinese,Inter,,,
209,21,18-01-2026 16:00,Renato Dall'Ara,Bologna,Fiorentina,,,
210,21,18-01-2026 16:00,Unipol Domus,Cagliari,Juventus,,,
211,22,25-01-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Parma,,,
212,22,25-01-2026 16:00,Giuseppe Sinigaglia,Como,Torino,,,
213,22,25-01-2026 16:00,Artemio Franchi,Fiorentina,Cagliari,,,
214,22,25-01-2026 16:00,Luigi Ferraris,Genoa,Bologna,,,
215,22,25-01-2026 16:00,Giuseppe Meazza,Inter,Pisa,,,
216,22,25-01-2026 16:00,Juventus Stadium,Juventus,Napoli,,,
217,22,25-01-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Lazio,,,
218,22,25-01-2026 16:00,Olimpico,Roma,Milan,,,
219,22,25-01-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Cremonese,,,
220,22,25-01-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Udinese,,,
221,23,01-02-2026 16:00,Renato Dall'Ara,Bologna,Milan,,,
222,23,01-02-2026 16:00,Unipol Domus,Cagliari,Hellas Verona,,,
223,23,01-02-2026 16:00,Giuseppe Sinigaglia,Como,Atalanta,,,
224,23,01-02-2026 16:00,Giovanni Zini,Cremonese,Inter,,,
225,23,01-02-2026 16:00,Olimpico,Lazio,Genoa,,,
226,23,01-02-2026 16:00,Diego Armando Maradona,Napoli,Fiorentina,,,
227,23,01-02-2026 16:00,Ennio Tardini,Parma,Juventus,,,
228,23,01-02-2026 16:00,Garibaldi,Pisa,Sassuolo,,,
229,23,01-02-2026 16:00,Olimpico Grande Torino,Torino,Lecce,,,
230,23,01-02-2026 16:00,Friuli,Udinese,Roma,,,
231,24,08-02-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Pisa,,,
232,24,08-02-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Inter,,,
233,24,08-02-2026 16:00,Olimpico,Roma,Cagliari,,,
234,24,08-02-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Cremonese,,,
235,24,08-02-2026 16:00,Renato Dall'Ara,Bologna,Parma,,,
236,24,08-02-2026 16:00,Artemio Franchi,Fiorentina,Torino,,,
237,24,08-02-2026 16:00,Luigi Ferraris,Genoa,Napoli,,,
238,24,08-02-2026 16:00,Juventus Stadium,Juventus,Lazio,,,
