Match Number,Round Number,Date,Location,Home Team,Away Team,Result
147,25,18-04-2026 17:00,Suncorp Stadium,Brisbane Roar,Melbourne City,
148,25,18-04-2026 19:35,Allianz Stadium,Sydney,Perth Glory,
149,25,19-04-2026 13:00,Go Media Stadium,Auckland,Central Coast Mariners,
150,25,19-04-2026 15:30,Coopers Stadium,Adelaide United,Macarthur,
151,26,24-04-2026 19:35,Campbelltown Sports Stadium,Macarthur,Wellington Phoenix,
152,26,25-04-2026 17:00,McDonald Jones Stadium,Newcastle Jets,Central Coast Mariners,
153,26,25-04-2026 19:35,CommBank Stadium,Western Sydney Wanderers,Melbourne Victory,
154,26,25-04-2026 21:45,HBF Park,Perth Glory,Brisbane Roar,
155,26,26-04-2026 15:00,Allianz Stadium,Sydney,Auckland,
156,26,26-04-2026 17:00,AAMI Park,Melbourne City,Adelaide United,
